t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0369706
1,-0.953624,-2.96459,-1.19723
2,-0.661972,-0.58214,-0.896951
3,-0.584664,-1.11648,-0.915581
4,-0.415158,-0.272694,-0.631958
5,0.193527,-0.331595,-0.486752
6,-0.839185,-0.0599926,-0.307174
7,-0.190153,-0.576626,-0.381524
8,0.111919,-1.26602,-0.663266
9,-0.130006,-0.306291,-0.494846
10,0.232194,-0.674992,-0.524544
11,0.601741,0.865227,-0.00929044
12,0.771975,-0.737982,-0.259557
13,0.273068,0.229531,-0.0732846
14,-0.535773,0.394812,0.0939471
15,-0.132975,0.529309,0.238756
16,-0.20378,-0.449528,-0.0170505
17,0.422684,-1.15147,-0.408265
18,-0.641796,-1.57556,-0.786219
19,-0.885054,-2.26577,-1.25074
20,-0.826457,0.967823,-0.399752
21,-0.594986,-2.01358,-0.932575
22,-0.467611,0.23737,-0.467652
23,-1.15433,-1.25959,-0.710861
24,-1.24628,-1.59036,-0.968574
25,-1.28547,-1.54365,-1.10411
26,-1.83162,-1.7046,-1.24143
27,-0.675896,-1.58288,-1.27844
28,-0.849868,-2.94147,-1.77121
29,-0.772622,0.0452511,-1.02419
30,-1.07452,-1.1389,-0.997203
31,-1.00712,0.4264,-0.437327
32,-2.15578,0.00294549,-0.25563
33,-2.04737,-1.31953,-0.608565
34,-1.66455,-0.4465,-0.512146
35,-1.7195,0.214343,-0.226431
36,-1.75577,-1.03765,-0.49316
37,-1.84828,-1.42026,-0.782825
38,-1.42246,-2.26004,-1.24579
39,-0.344054,-0.969671,-1.06865
40,-0.303132,-0.240307,-0.712867
41,-0.346292,0.618519,-0.205699
42,-0.257306,0.66336,0.108421
43,0.0949484,-1.75485,-0.542791
44,-0.407237,-3.28669,-1.46042
45,-0.368942,-0.831469,-1.14705
46,0.101567,0.519685,-0.492967
47,1.22808,1.76769,0.325735
48,1.09955,0.958654,0.524016
49,1.63977,2.48989,1.1706
50,1.47344,2.95329,1.71383
51,0.434475,0.761698,1.27134
52,0.327225,2.44611,1.59599
53,-0.180257,-0.291461,0.835098
54,-0.832933,-1.98065,-0.193111
55,-1.17726,-0.294422,-0.216832
56,-0.850214,-2.6521,-1.04657
57,-1.54091,-2.27386,-1.40354
58,-1.66479,-3.22535,-1.94139
59,-2.09838,-1.94854,-1.81691
60,-1.71133,-0.744938,-1.32625
61,-0.934998,-1.30952,-1.23405
62,-1.22425,-2.53217,-1.60267
63,-1.5306,0.250689,-0.856144
64,-2.15196,-1.9681,-1.18648
65,-0.86944,0.786022,-0.425957
66,-0.739213,-1.41922,-0.74149
67,-0.805619,-1.35487,-0.905394
68,0.331499,0.00710359,-0.529432
69,1.89187,2.8645,0.681817
70,1.87471,2.48255,1.26332
71,1.17004,1.65126,1.31448
72,1.62155,0.476597,0.936557
73,1.01785,0.599342,0.758053
74,0.144204,-1.01131,0.0952684
75,-0.432693,-0.461114,-0.102904
76,-0.910904,-0.462255,-0.219786
77,-1.92819,-0.0577704,-0.149199
78,-2.043,-1.55086,-0.62433
79,-1.74845,-0.983973,-0.70829
80,-2.00491,-1.37206,-0.892432
81,-3.03272,-3.62237,-1.7792
82,-2.93509,-2.83152,-2.02676
83,-3.31274,-2.1892,-1.95131
84,-3.15276,-2.82824,-2.1275
85,-2.39299,-2.33742,-2.0614
86,-2.87342,-1.98722,-1.90083
87,-2.56391,-2.1184,-1.85366
88,-2.16257,-3.90586,-2.44521
89,-2.02825,-0.549997,-1.62859
90,-2.22128,-3.80775,-2.27467
91,-1.27728,-0.425337,-1.48554
92,-0.872207,-1.97643,-1.5578
93,-1.05962,-1.0022,-1.26324
94,-0.274246,-0.228638,-0.821884
95,-0.380521,0.463053,-0.324259
96,-0.693376,0.743379,0.0679675
97,-0.69568,-1.00386,-0.307152
98,-0.39475,-1.7472,-0.785863
99,-0.754392,-1.07777,-0.836362
100,0.184921,-0.461379,-0.651507
101,1.00877,1.15082,0.0157721
102,0.753022,0.645037,0.234234
103,0.369827,0.628494,0.356099
104,0.442186,2.08105,0.93216
105,0.481182,1.40533,1.03438
106,-0.242297,-0.898826,0.297764
107,-0.654119,-0.31817,0.0643841
108,-0.589525,0.685938,0.275314
109,-0.0620364,0.351676,0.284552
110,-1.36023,-0.766485,-0.0979767
111,-1.12265,0.487931,0.111979
112,-1.44467,-1.0845,-0.310511
113,-0.867171,-0.647097,-0.408055
114,-0.29614,0.916017,0.0791454
115,-0.202505,-1.35056,-0.422482
116,-1.0919,-3.26679,-1.38013
117,-1.86478,-2.77283,-1.77312
118,-2.05452,-2.01082,-1.74002
119,-1.81105,-1.19494,-1.43673
120,-2.27009,-2.21925,-1.61409
121,-3.11601,-4.3345,-2.45482
122,-2.82522,-2.70271,-2.38065
123,-2.73223,-2.55072,-2.28471
124,-2.44713,-2.48232,-2.20392
125,-2.10637,-2.35929,-2.11377
126,-1.46231,-1.82052,-1.87388
127,-1.7517,-2.52279,-1.97695
128,-0.981731,-0.906465,-1.47508
129,-1.23483,-3.41151,-2.05302
130,-1.2604,0.302411,-1.10051
131,-0.0921236,-2.09969,-1.37492
132,0.272816,-1.14239,-1.20399
133,-0.79403,-1.41112,-1.19784
134,-0.120226,0.0537402,-0.686921
135,-0.112599,0.703253,-0.160456
136,0.0416512,1.28362,0.349804
137,-0.41736,-0.2015,0.136597
138,0.118122,0.131074,0.124569
139,0.00732846,-1.72225,-0.523755
140,1.04012,-0.360098,-0.432439
141,0.644815,0.573141,-0.0570355
142,1.22454,0.664795,0.199354
143,0.84788,1.03139,0.474862
144,1.02905,1.54518,0.813633
145,0.639269,1.38163,0.958659
146,0.985465,0.484678,0.732513
147,1.16318,1.87111,1.08056
148,2.04589,0.83539,0.927063
149,1.46775,1.70976,1.13745
150,0.387297,1.30347,1.12161
151,1.20148,2.02963,1.36201
152,0.832902,1.49161,1.31788
153,1.57066,1.6577,1.34978
154,1.02388,1.07904,1.16727
155,0.412183,1.82643,1.32019
156,0.384597,2.09076,1.50048
157,0.937125,0.825152,1.16821
158,0.63994,1.45363,1.18932
159,0.441529,1.08488,1.07552
160,0.999861,0.36999,0.760443
161,0.735238,0.332787,0.562645
162,0.425001,-0.629635,0.111149
163,-0.409202,-1.20571,-0.353168
164,-0.130622,-0.340639,-0.326093
165,-0.895435,-0.734082,-0.447303
166,-0.570048,0.468779,-0.100624
167,-0.966495,-0.888086,-0.367716
168,-0.888363,0.218961,-0.139448
169,-1.46934,-2.5296,-0.960093
170,-2.00376,-2.57092,-1.4543
171,-0.675141,0.410965,-0.712692
172,-1.43299,-1.19818,-0.834883
173,-2.05703,-0.465317,-0.653171
174,-2.00065,-1.89092,-1.03842
175,-1.54369,-0.128723,-0.654534
176,-1.51773,-3.14025,-1.47276
177,-1.35317,-3.06167,-1.92742
178,-0.736456,0.980202,-0.789301
179,-0.0379078,-0.313717,-0.571851
180,-0.335835,1.02732,0.0212643
181,-0.137092,0.390292,0.148522
182,-0.872713,-1.33122,-0.375166
183,-0.192836,0.75688,0.0411332
184,-0.351069,-0.0665961,0.00125632
185,-0.983106,1.29537,0.448073
186,-0.449925,-1.80827,-0.363464
187,-0.905291,0.197734,-0.144607
188,-0.754438,-0.762675,-0.351018
189,-0.753343,1.05761,0.161312
190,-1.12741,-2.03399,-0.610552
191,-1.0641,0.122079,-0.318342
192,-0.25574,-2.11053,-0.918263
193,-0.156562,0.667853,-0.308096
194,0.233111,0.105415,-0.144248
195,-0.667593,-1.89955,-0.743001
196,-0.482834,-0.962957,-0.77086
197,-1.06856,0.586417,-0.251444
198,-1.43405,-0.448328,-0.302164
199,-1.18189,-0.490271,-0.347871
200,-0.661301,-0.621559,-0.420474
201,-0.461645,-0.744961,-0.505223
202,-0.570654,-1.82165,-0.927979
203,-0.880058,-1.69932,-1.13369
204,-0.890054,-0.23317,-0.746884
205,-0.834487,1.35658,0.0314455
206,-1.38807,-2.24385,-0.759262
207,-1.20944,-3.28945,-1.58698
208,-0.421563,1.62083,-0.372161
209,-0.306758,0.703379,0.0243422
210,-0.823135,-1.2608,-0.42273
211,0.558031,-0.119678,-0.290745
212,0.369069,2.1068,0.558955
213,0.32773,1.11391,0.714541
214,0.62856,1.08864,0.796573
215,0.0889748,0.652054,0.695504
216,0.495849,0.346659,0.530574
217,0.208075,0.0798634,0.338256
218,0.421549,-0.827626,-0.0882584
219,1.63024,-0.0687638,-0.0755186
220,0.551811,2.78749,0.924709
221,-0.626204,-0.807194,0.262804
222,-0.598095,-0.47294,-0.00838532
223,-1.02109,-0.975502,-0.342774
224,-0.465237,1.39977,0.283455
225,0.133144,0.290505,0.266525
226,-0.0693172,-0.335555,0.0418901
227,-0.646834,-1.5751,-0.5217
228,-0.0620473,0.167581,-0.249126
229,-0.461231,0.191304,-0.0809372
230,-0.556662,-0.947601,-0.376674
231,-0.524206,-0.875347,-0.525846
232,-0.193196,-0.748743,-0.568915
233,0.0713334,-0.162657,-0.391221
234,-0.229074,0.874593,0.0760204
235,-0.520703,-0.969866,-0.291629
236,-0.752474,-0.0741748,-0.197079
237,-0.0278969,0.806189,0.163876
238,-0.386826,0.0440146,0.112718
239,-0.519987,-1.63657,-0.501818
240,0.00309473,0.356858,-0.171839
241,0.253996,2.76954,0.861324
242,0.0191366,1.64566,1.07791
243,0.274141,1.91225,1.29751
244,0.42948,-0.14441,0.710999
245,-0.276696,-1.73012,-0.180961
246,0.732385,1.06088,0.262063
247,1.11006,1.36806,0.629699
248,0.688751,0.851513,0.664664
249,0.612857,0.00336184,0.391473
250,0.582823,0.111715,0.269723
251,0.840599,1.19249,0.571434
252,1.60739,0.0736383,0.361893
253,2.07925,1.74383,0.817507
254,2.19703,3.54851,1.70792
255,1.68747,1.46556,1.5116
256,1.84387,1.54556,1.42461
257,0.880689,2.55221,1.72122
258,0.699592,1.20558,1.4293
259,0.207946,-1.16175,0.437267
260,-0.485191,-0.821814,-0.0286113
261,-0.482552,-0.0990079,-0.0510678
262,0.00259481,3.10746,1.05286
263,1.29912,1.21627,1.04185
264,1.92407,2.52386,1.48851
265,1.09305,2.33938,1.68584
266,1.3584,3.01539,2.03729
267,0.529768,-2.08007,0.482251
268,0.423128,0.223188,0.360202
269,1.15194,0.466205,0.373141
270,0.37421,1.42122,0.710434
271,0.345232,-1.27323,-0.0239517
272,-0.0727679,-0.223188,-0.0908965
273,-0.361143,-1.24814,-0.485863
274,0.769847,-0.526655,-0.467076
275,-0.125501,1.36919,0.199698
276,-0.346807,-0.172899,0.0574409
277,-0.570351,-1.80769,-0.593341
278,-0.417847,-1.29895,-0.799333
279,0.609772,0.677526,-0.235487
280,0.622811,1.05068,0.226683
281,0.194188,0.794182,0.408407
282,-0.0544495,-0.157294,0.185338
283,0.28523,0.658626,0.337742
284,0.355851,0.536497,0.383607
285,0.739859,-0.250168,0.138368
286,-0.140862,-0.475369,-0.0827864
287,-0.428945,0.794245,0.227118
288,-0.441811,0.348089,0.254267
289,-1.13217,-2.4727,-0.706674
290,-0.349895,-2.36945,-1.23791
291,0.79119,-1.36004,-1.19969
292,0.732915,1.18401,-0.293259
293,0.661015,1.28341,0.271864
294,0.639718,0.48973,0.329693
295,1.08697,1.94187,0.866218
296,1.63765,2.55428,1.39587
297,0.880538,0.783652,1.09278
298,0.559077,1.02077,0.997101
299,0.764378,3.22015,1.70291
300,0.815065,1.13127,1.39297
301,0.779276,0.238953,0.902914
302,1.17582,0.353197,0.652876
