N,pf_kf_rmse,pf_true_rmse
100,0.09236923975547834,0.6179439143283987
500,0.03854246829871052,0.6169887102519501
1000,0.03204595678145817,0.6224222135344999
5000,0.014016553582263403,0.6170803413594215
10000,0.009906416202039635,0.6173595506611682
50000,0.004102893284037893,0.6173244752990614
100000,0.003018286308810291,0.6166662638152614
500000,0.001337487391508494,0.6168112829738865
