t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0335295
1,-0.953624,-2.96459,-1.18834
2,-0.661972,-0.58214,-0.890259
3,-0.584664,-1.11648,-0.912686
4,-0.415158,-0.272694,-0.630024
5,0.193527,-0.331595,-0.483594
6,-0.839185,-0.0599926,-0.306693
7,-0.190153,-0.576626,-0.38169
8,0.111919,-1.26602,-0.662364
9,-0.130006,-0.306291,-0.497112
10,0.232194,-0.674992,-0.524699
11,0.601741,0.865227,-0.00633081
12,0.771975,-0.737982,-0.259143
13,0.273068,0.229531,-0.0745109
14,-0.535773,0.394812,0.0946707
15,-0.132975,0.529309,0.242926
16,-0.20378,-0.449528,-0.013821
17,0.422684,-1.15147,-0.407853
18,-0.641796,-1.57556,-0.781243
19,-0.885054,-2.26577,-1.24083
20,-0.826457,0.967823,-0.393391
21,-0.594986,-2.01358,-0.931346
22,-0.467611,0.23737,-0.465666
23,-1.15433,-1.25959,-0.710669
24,-1.24628,-1.59036,-0.970589
25,-1.28547,-1.54365,-1.10582
26,-1.83162,-1.7046,-1.24204
27,-0.675896,-1.58288,-1.27757
28,-0.849868,-2.94147,-1.76971
29,-0.772622,0.0452511,-1.02963
30,-1.07452,-1.1389,-0.99831
31,-1.00712,0.4264,-0.441897
32,-2.15578,0.00294549,-0.259113
33,-2.04737,-1.31953,-0.608317
34,-1.66455,-0.4465,-0.514545
35,-1.7195,0.214343,-0.230372
36,-1.75577,-1.03765,-0.497318
37,-1.84828,-1.42026,-0.787177
38,-1.42246,-2.26004,-1.24652
39,-0.344054,-0.969671,-1.0725
40,-0.303132,-0.240307,-0.713987
41,-0.346292,0.618519,-0.206827
42,-0.257306,0.66336,0.109012
43,0.0949484,-1.75485,-0.543096
44,-0.407237,-3.28669,-1.45839
45,-0.368942,-0.831469,-1.14372
46,0.101567,0.519685,-0.496017
47,1.22808,1.76769,0.316538
48,1.09955,0.958654,0.517548
49,1.63977,2.48989,1.17104
50,1.47344,2.95329,1.71151
51,0.434475,0.761698,1.26984
52,0.327225,2.44611,1.5917
53,-0.180257,-0.291461,0.837915
54,-0.832933,-1.98065,-0.191662
55,-1.17726,-0.294422,-0.216007
56,-0.850214,-2.6521,-1.04389
57,-1.54091,-2.27386,-1.39935
58,-1.66479,-3.22535,-1.9406
59,-2.09838,-1.94854,-1.81359
60,-1.71133,-0.744938,-1.31888
61,-0.934998,-1.30952,-1.22916
62,-1.22425,-2.53217,-1.60155
63,-1.5306,0.250689,-0.850255
64,-2.15196,-1.9681,-1.18298
65,-0.86944,0.786022,-0.419791
66,-0.739213,-1.41922,-0.740868
67,-0.805619,-1.35487,-0.905798
68,0.331499,0.00710359,-0.528802
69,1.89187,2.8645,0.681309
70,1.87471,2.48255,1.26061
71,1.17004,1.65126,1.31474
72,1.62155,0.476597,0.93575
73,1.01785,0.599342,0.758107
74,0.144204,-1.01131,0.0931212
75,-0.432693,-0.461114,-0.107102
76,-0.910904,-0.462255,-0.221166
77,-1.92819,-0.0577704,-0.150929
78,-2.043,-1.55086,-0.627812
79,-1.74845,-0.983973,-0.712014
80,-2.00491,-1.37206,-0.897829
81,-3.03272,-3.62237,-1.77778
82,-2.93509,-2.83152,-2.02591
83,-3.31274,-2.1892,-1.95098
84,-3.15276,-2.82824,-2.12945
85,-2.39299,-2.33742,-2.06449
86,-2.87342,-1.98722,-1.90244
87,-2.56391,-2.1184,-1.84855
88,-2.16257,-3.90586,-2.43981
89,-2.02825,-0.549997,-1.62302
90,-2.22128,-3.80775,-2.2768
91,-1.27728,-0.425337,-1.48912
92,-0.872207,-1.97643,-1.56112
93,-1.05962,-1.0022,-1.26486
94,-0.274246,-0.228638,-0.822921
95,-0.380521,0.463053,-0.325002
96,-0.693376,0.743379,0.0661009
97,-0.69568,-1.00386,-0.310425
98,-0.39475,-1.7472,-0.786717
99,-0.754392,-1.07777,-0.838863
100,0.184921,-0.461379,-0.653673
101,1.00877,1.15082,0.010162
102,0.753022,0.645037,0.22871
103,0.369827,0.628494,0.355632
104,0.442186,2.08105,0.931608
105,0.481182,1.40533,1.03289
106,-0.242297,-0.898826,0.297581
107,-0.654119,-0.31817,0.066214
108,-0.589525,0.685938,0.276752
109,-0.0620364,0.351676,0.282766
110,-1.36023,-0.766485,-0.0984966
111,-1.12265,0.487931,0.110836
112,-1.44467,-1.0845,-0.316494
113,-0.867171,-0.647097,-0.409803
114,-0.29614,0.916017,0.0761521
115,-0.202505,-1.35056,-0.42393
116,-1.0919,-3.26679,-1.38277
117,-1.86478,-2.77283,-1.76977
118,-2.05452,-2.01082,-1.73784
119,-1.81105,-1.19494,-1.43455
120,-2.27009,-2.21925,-1.61435
121,-3.11601,-4.3345,-2.45193
122,-2.82522,-2.70271,-2.3762
123,-2.73223,-2.55072,-2.28202
124,-2.44713,-2.48232,-2.20299
125,-2.10637,-2.35929,-2.11482
126,-1.46231,-1.82052,-1.87165
127,-1.7517,-2.52279,-1.97829
128,-0.981731,-0.906465,-1.4741
129,-1.23483,-3.41151,-2.05666
130,-1.2604,0.302411,-1.09867
131,-0.0921236,-2.09969,-1.37618
132,0.272816,-1.14239,-1.20626
133,-0.79403,-1.41112,-1.19878
134,-0.120226,0.0537402,-0.686269
135,-0.112599,0.703253,-0.155436
136,0.0416512,1.28362,0.355016
137,-0.41736,-0.2015,0.141331
138,0.118122,0.131074,0.128042
139,0.00732846,-1.72225,-0.521739
140,1.04012,-0.360098,-0.431382
141,0.644815,0.573141,-0.0541121
142,1.22454,0.664795,0.200431
143,0.84788,1.03139,0.476067
144,1.02905,1.54518,0.814524
145,0.639269,1.38163,0.957364
146,0.985465,0.484678,0.732587
147,1.16318,1.87111,1.07521
148,2.04589,0.83539,0.921406
149,1.46775,1.70976,1.13637
150,0.387297,1.30347,1.11581
151,1.20148,2.02963,1.35816
152,0.832902,1.49161,1.31754
153,1.57066,1.6577,1.34955
154,1.02388,1.07904,1.16833
155,0.412183,1.82643,1.32139
156,0.384597,2.09076,1.50014
157,0.937125,0.825152,1.16765
158,0.63994,1.45363,1.19225
159,0.441529,1.08488,1.07365
160,0.999861,0.36999,0.759113
161,0.735238,0.332787,0.561053
