t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.04555
1,-0.953624,-2.96459,-1.20843
2,-0.661972,-0.58214,-0.895127
3,-0.584664,-1.11648,-0.910269
4,-0.415158,-0.272694,-0.617764
5,0.193527,-0.331595,-0.468394
6,-0.839185,-0.0599926,-0.289596
7,-0.190153,-0.576626,-0.372375
8,0.111919,-1.26602,-0.657733
9,-0.130006,-0.306291,-0.491134
10,0.232194,-0.674992,-0.51906
11,0.601741,0.865227,0.0039017
12,0.771975,-0.737982,-0.252327
13,0.273068,0.229531,-0.0669979
14,-0.535773,0.394812,0.107747
15,-0.132975,0.529309,0.248265
16,-0.20378,-0.449528,-0.0109705
17,0.422684,-1.15147,-0.405111
18,-0.641796,-1.57556,-0.781255
19,-0.885054,-2.26577,-1.25656
20,-0.826457,0.967823,-0.398792
21,-0.594986,-2.01358,-0.942674
22,-0.467611,0.23737,-0.461074
23,-1.15433,-1.25959,-0.716403
24,-1.24628,-1.59036,-0.962508
25,-1.28547,-1.54365,-1.11379
26,-1.83162,-1.7046,-1.25683
27,-0.675896,-1.58288,-1.27079
28,-0.849868,-2.94147,-1.76029
29,-0.772622,0.0452511,-1.02244
30,-1.07452,-1.1389,-0.989146
31,-1.00712,0.4264,-0.447287
32,-2.15578,0.00294549,-0.272589
33,-2.04737,-1.31953,-0.621706
34,-1.66455,-0.4465,-0.521071
35,-1.7195,0.214343,-0.230078
36,-1.75577,-1.03765,-0.48806
37,-1.84828,-1.42026,-0.765455
38,-1.42246,-2.26004,-1.23153
39,-0.344054,-0.969671,-1.04404
40,-0.303132,-0.240307,-0.691844
41,-0.346292,0.618519,-0.19674
42,-0.257306,0.66336,0.116775
43,0.0949484,-1.75485,-0.554236
44,-0.407237,-3.28669,-1.47028
45,-0.368942,-0.831469,-1.15473
46,0.101567,0.519685,-0.499308
47,1.22808,1.76769,0.332925
48,1.09955,0.958654,0.533503
49,1.63977,2.48989,1.17881
50,1.47344,2.95329,1.74914
51,0.434475,0.761698,1.27453
52,0.327225,2.44611,1.61939
53,-0.180257,-0.291461,0.842507
54,-0.832933,-1.98065,-0.162105
55,-1.17726,-0.294422,-0.198655
56,-0.850214,-2.6521,-1.01764
57,-1.54091,-2.27386,-1.36504
58,-1.66479,-3.22535,-1.89397
59,-2.09838,-1.94854,-1.79114
60,-1.71133,-0.744938,-1.31691
61,-0.934998,-1.30952,-1.22322
62,-1.22425,-2.53217,-1.58942
63,-1.5306,0.250689,-0.845018
64,-2.15196,-1.9681,-1.17493
65,-0.86944,0.786022,-0.41773
66,-0.739213,-1.41922,-0.739429
67,-0.805619,-1.35487,-0.897829
68,0.331499,0.00710359,-0.528727
69,1.89187,2.8645,0.708294
70,1.87471,2.48255,1.29255
71,1.17004,1.65126,1.33417
72,1.62155,0.476597,0.954077
73,1.01785,0.599342,0.757885
74,0.144204,-1.01131,0.0920695
75,-0.432693,-0.461114,-0.118656
76,-0.910904,-0.462255,-0.241868
77,-1.92819,-0.0577704,-0.160165
78,-2.043,-1.55086,-0.611906
79,-1.74845,-0.983973,-0.679107
80,-2.00491,-1.37206,-0.873543
81,-3.03272,-3.62237,-1.75427
82,-2.93509,-2.83152,-2.01937
83,-3.31274,-2.1892,-1.95604
84,-3.15276,-2.82824,-2.11663
85,-2.39299,-2.33742,-2.05492
86,-2.87342,-1.98722,-1.90114
87,-2.56391,-2.1184,-1.86018
88,-2.16257,-3.90586,-2.47715
89,-2.02825,-0.549997,-1.64304
90,-2.22128,-3.80775,-2.27007
91,-1.27728,-0.425337,-1.48395
92,-0.872207,-1.97643,-1.56367
93,-1.05962,-1.0022,-1.26618
94,-0.274246,-0.228638,-0.818455
95,-0.380521,0.463053,-0.323746
96,-0.693376,0.743379,0.0841606
97,-0.69568,-1.00386,-0.299169
98,-0.39475,-1.7472,-0.765656
99,-0.754392,-1.07777,-0.820753
100,0.184921,-0.461379,-0.643998
101,1.00877,1.15082,-0.00166956
102,0.753022,0.645037,0.218331
103,0.369827,0.628494,0.354186
104,0.442186,2.08105,0.938123
105,0.481182,1.40533,1.05406
106,-0.242297,-0.898826,0.304316
107,-0.654119,-0.31817,0.0578452
108,-0.589525,0.685938,0.269346
109,-0.0620364,0.351676,0.280902
110,-1.36023,-0.766485,-0.110547
111,-1.12265,0.487931,0.0868752
112,-1.44467,-1.0845,-0.312368
113,-0.867171,-0.647097,-0.421984
114,-0.29614,0.916017,0.0772952
115,-0.202505,-1.35056,-0.416179
116,-1.0919,-3.26679,-1.34055
117,-1.86478,-2.77283,-1.72381
118,-2.05452,-2.01082,-1.70271
119,-1.81105,-1.19494,-1.41382
120,-2.27009,-2.21925,-1.59196
121,-3.11601,-4.3345,-2.48526
122,-2.82522,-2.70271,-2.40218
123,-2.73223,-2.55072,-2.2981
124,-2.44713,-2.48232,-2.21258
125,-2.10637,-2.35929,-2.10835
126,-1.46231,-1.82052,-1.8579
127,-1.7517,-2.52279,-1.96324
128,-0.981731,-0.906465,-1.46519
129,-1.23483,-3.41151,-2.02996
130,-1.2604,0.302411,-1.10211
131,-0.0921236,-2.09969,-1.37377
132,0.272816,-1.14239,-1.19297
133,-0.79403,-1.41112,-1.18312
134,-0.120226,0.0537402,-0.669241
135,-0.112599,0.703253,-0.145699
136,0.0416512,1.28362,0.344207
137,-0.41736,-0.2015,0.125084
138,0.118122,0.131074,0.102132
139,0.00732846,-1.72225,-0.519301
140,1.04012,-0.360098,-0.433134
141,0.644815,0.573141,-0.0761722
142,1.22454,0.664795,0.177888
143,0.84788,1.03139,0.454947
144,1.02905,1.54518,0.796841
145,0.639269,1.38163,0.939204
146,0.985465,0.484678,0.721177
147,1.16318,1.87111,1.08387
148,2.04589,0.83539,0.920362
149,1.46775,1.70976,1.12586
150,0.387297,1.30347,1.12668
151,1.20148,2.02963,1.36295
152,0.832902,1.49161,1.30568
153,1.57066,1.6577,1.35198
154,1.02388,1.07904,1.18229
155,0.412183,1.82643,1.33969
156,0.384597,2.09076,1.52621
157,0.937125,0.825152,1.18264
158,0.63994,1.45363,1.20194
159,0.441529,1.08488,1.07788
160,0.999861,0.36999,0.760024
161,0.735238,0.332787,0.576546
162,0.425001,-0.629635,0.109662
163,-0.409202,-1.20571,-0.335536
164,-0.130622,-0.340639,-0.313042
165,-0.895435,-0.734082,-0.439123
166,-0.570048,0.468779,-0.0948488
167,-0.966495,-0.888086,-0.373842
168,-0.888363,0.218961,-0.143738
169,-1.46934,-2.5296,-0.942646
170,-2.00376,-2.57092,-1.44483
171,-0.675141,0.410965,-0.696053
172,-1.43299,-1.19818,-0.826728
173,-2.05703,-0.465317,-0.652445
174,-2.00065,-1.89092,-1.05709
175,-1.54369,-0.128723,-0.651902
176,-1.51773,-3.14025,-1.47433
177,-1.35317,-3.06167,-1.93909
178,-0.736456,0.980202,-0.816068
179,-0.0379078,-0.313717,-0.593898
180,-0.335835,1.02732,-0.00360187
181,-0.137092,0.390292,0.138115
182,-0.872713,-1.33122,-0.373796
183,-0.192836,0.75688,0.0281123
184,-0.351069,-0.0665961,-0.0030084
185,-0.983106,1.29537,0.446921
186,-0.449925,-1.80827,-0.391746
187,-0.905291,0.197734,-0.144138
188,-0.754438,-0.762675,-0.354452
189,-0.753343,1.05761,0.158845
190,-1.12741,-2.03399,-0.613704
191,-1.0641,0.122079,-0.314317
