t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.11253
1,-0.953624,-2.96459,-1.05762
2,-0.661972,-0.58214,-0.899771
3,-0.584664,-1.11648,-0.941117
4,-0.415158,-0.272694,-0.661716
5,0.193527,-0.331595,-0.514505
6,-0.839185,-0.0599926,-0.272501
7,-0.190153,-0.576626,-0.381047
8,0.111919,-1.26602,-0.563707
9,-0.130006,-0.306291,-0.38227
10,0.232194,-0.674992,-0.424506
11,0.601741,0.865227,0.0118102
12,0.771975,-0.737982,-0.234763
13,0.273068,0.229531,-0.110787
14,-0.535773,0.394812,0.0787254
15,-0.132975,0.529309,0.148094
16,-0.20378,-0.449528,-0.0128922
17,0.422684,-1.15147,-0.250456
18,-0.641796,-1.57556,-0.625832
19,-0.885054,-2.26577,-0.971141
20,-0.826457,0.967823,-0.369664
21,-0.594986,-2.01358,-0.867926
22,-0.467611,0.23737,-0.368589
23,-1.15433,-1.25959,-0.665409
24,-1.24628,-1.59036,-0.923308
25,-1.28547,-1.54365,-1.18317
26,-1.83162,-1.7046,-1.35816
27,-0.675896,-1.58288,-1.42008
28,-0.849868,-2.94147,-1.98661
29,-0.772622,0.0452511,-1.10376
30,-1.07452,-1.1389,-1.01455
31,-1.00712,0.4264,-0.380908
32,-2.15578,0.00294549,-0.33957
33,-2.04737,-1.31953,-0.650255
34,-1.66455,-0.4465,-0.61746
35,-1.7195,0.214343,-0.26529
36,-1.75577,-1.03765,-0.536667
37,-1.84828,-1.42026,-0.826602
38,-1.42246,-2.26004,-1.3285
39,-0.344054,-0.969671,-1.06224
40,-0.303132,-0.240307,-0.778054
41,-0.346292,0.618519,-0.219395
42,-0.257306,0.66336,0.0679603
43,0.0949484,-1.75485,-0.587151
44,-0.407237,-3.28669,-1.43481
45,-0.368942,-0.831469,-1.15805
46,0.101567,0.519685,-0.542828
47,1.22808,1.76769,0.224273
48,1.09955,0.958654,0.417559
49,1.63977,2.48989,1.02525
50,1.47344,2.95329,1.39925
51,0.434475,0.761698,0.976778
52,0.327225,2.44611,1.43407
53,-0.180257,-0.291461,0.734762
54,-0.832933,-1.98065,-0.229233
55,-1.17726,-0.294422,-0.207421
56,-0.850214,-2.6521,-1.07103
57,-1.54091,-2.27386,-1.37982
58,-1.66479,-3.22535,-1.86062
59,-2.09838,-1.94854,-1.78101
60,-1.71133,-0.744938,-1.29795
61,-0.934998,-1.30952,-1.27918
62,-1.22425,-2.53217,-1.58928
63,-1.5306,0.250689,-0.705478
64,-2.15196,-1.9681,-1.05324
65,-0.86944,0.786022,-0.408914
66,-0.739213,-1.41922,-0.736497
67,-0.805619,-1.35487,-0.941253
68,0.331499,0.00710359,-0.58735
69,1.89187,2.8645,0.613876
70,1.87471,2.48255,1.25444
71,1.17004,1.65126,1.23502
72,1.62155,0.476597,0.787667
73,1.01785,0.599342,0.705197
74,0.144204,-1.01131,0.0866839
75,-0.432693,-0.461114,-0.0945395
76,-0.910904,-0.462255,-0.196604
77,-1.92819,-0.0577704,-0.177869
78,-2.043,-1.55086,-0.763258
79,-1.74845,-0.983973,-0.84131
80,-2.00491,-1.37206,-0.836091
81,-3.03272,-3.62237,-1.80842
82,-2.93509,-2.83152,-2.07355
83,-3.31274,-2.1892,-2.04638
84,-3.15276,-2.82824,-2.24753
85,-2.39299,-2.33742,-2.15482
86,-2.87342,-1.98722,-1.93735
87,-2.56391,-2.1184,-1.89517
88,-2.16257,-3.90586,-2.38401
89,-2.02825,-0.549997,-1.51276
90,-2.22128,-3.80775,-2.3053
91,-1.27728,-0.425337,-1.61474
92,-0.872207,-1.97643,-1.67439
93,-1.05962,-1.0022,-1.34363
