t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0611673
1,-0.953624,-2.96459,-1.20192
2,-0.661972,-0.58214,-0.926076
3,-0.584664,-1.11648,-0.925115
4,-0.415158,-0.272694,-0.613979
5,0.193527,-0.331595,-0.516114
6,-0.839185,-0.0599926,-0.305132
7,-0.190153,-0.576626,-0.321476
8,0.111919,-1.26602,-0.652172
9,-0.130006,-0.306291,-0.506542
10,0.232194,-0.674992,-0.581206
11,0.601741,0.865227,-0.0689835
12,0.771975,-0.737982,-0.287938
13,0.273068,0.229531,-0.0752062
14,-0.535773,0.394812,0.0942551
15,-0.132975,0.529309,0.229179
16,-0.20378,-0.449528,-0.0356074
17,0.422684,-1.15147,-0.459562
18,-0.641796,-1.57556,-0.81685
19,-0.885054,-2.26577,-1.26245
20,-0.826457,0.967823,-0.421906
21,-0.594986,-2.01358,-0.916885
22,-0.467611,0.23737,-0.445602
23,-1.15433,-1.25959,-0.733831
24,-1.24628,-1.59036,-0.991792
25,-1.28547,-1.54365,-1.17865
26,-1.83162,-1.7046,-1.29216
27,-0.675896,-1.58288,-1.35291
28,-0.849868,-2.94147,-1.8531
29,-0.772622,0.0452511,-1.04317
30,-1.07452,-1.1389,-0.972457
31,-1.00712,0.4264,-0.377989
32,-2.15578,0.00294549,-0.245842
33,-2.04737,-1.31953,-0.594672
34,-1.66455,-0.4465,-0.504178
35,-1.7195,0.214343,-0.213429
36,-1.75577,-1.03765,-0.486301
37,-1.84828,-1.42026,-0.770339
38,-1.42246,-2.26004,-1.24228
39,-0.344054,-0.969671,-1.068
40,-0.303132,-0.240307,-0.631524
41,-0.346292,0.618519,-0.195205
42,-0.257306,0.66336,0.136817
43,0.0949484,-1.75485,-0.486871
44,-0.407237,-3.28669,-1.51778
45,-0.368942,-0.831469,-1.22028
46,0.101567,0.519685,-0.52888
47,1.22808,1.76769,0.343305
48,1.09955,0.958654,0.560539
49,1.63977,2.48989,1.18649
50,1.47344,2.95329,1.77254
51,0.434475,0.761698,1.26548
52,0.327225,2.44611,1.60986
53,-0.180257,-0.291461,0.847482
54,-0.832933,-1.98065,-0.154596
55,-1.17726,-0.294422,-0.20769
56,-0.850214,-2.6521,-1.04927
57,-1.54091,-2.27386,-1.3765
58,-1.66479,-3.22535,-1.97026
59,-2.09838,-1.94854,-1.82948
60,-1.71133,-0.744938,-1.3189
61,-0.934998,-1.30952,-1.2209
62,-1.22425,-2.53217,-1.65096
63,-1.5306,0.250689,-0.9034
64,-2.15196,-1.9681,-1.25733
65,-0.86944,0.786022,-0.457288
66,-0.739213,-1.41922,-0.788389
67,-0.805619,-1.35487,-0.954706
68,0.331499,0.00710359,-0.562135
69,1.89187,2.8645,0.652269
70,1.87471,2.48255,1.19426
71,1.17004,1.65126,1.27932
72,1.62155,0.476597,0.940856
73,1.01785,0.599342,0.763597
74,0.144204,-1.01131,0.0838134
75,-0.432693,-0.461114,-0.0855441
76,-0.910904,-0.462255,-0.220118
77,-1.92819,-0.0577704,-0.132822
78,-2.043,-1.55086,-0.621682
79,-1.74845,-0.983973,-0.746354
80,-2.00491,-1.37206,-0.916327
81,-3.03272,-3.62237,-1.75689
82,-2.93509,-2.83152,-1.97555
83,-3.31274,-2.1892,-1.95611
84,-3.15276,-2.82824,-2.10717
85,-2.39299,-2.33742,-2.06836
86,-2.87342,-1.98722,-1.90636
87,-2.56391,-2.1184,-1.82974
88,-2.16257,-3.90586,-2.42739
89,-2.02825,-0.549997,-1.67946
90,-2.22128,-3.80775,-2.30417
91,-1.27728,-0.425337,-1.58613
92,-0.872207,-1.97643,-1.57537
93,-1.05962,-1.0022,-1.29451
94,-0.274246,-0.228638,-0.876155
95,-0.380521,0.463053,-0.402324
96,-0.693376,0.743379,0.028642
97,-0.69568,-1.00386,-0.301992
98,-0.39475,-1.7472,-0.752032
99,-0.754392,-1.07777,-0.817056
100,0.184921,-0.461379,-0.649312
101,1.00877,1.15082,0.00434292
102,0.753022,0.645037,0.212712
103,0.369827,0.628494,0.321756
104,0.442186,2.08105,0.901844
105,0.481182,1.40533,1.03718
106,-0.242297,-0.898826,0.220031
107,-0.654119,-0.31817,0.0317977
108,-0.589525,0.685938,0.250189
109,-0.0620364,0.351676,0.300523
110,-1.36023,-0.766485,-0.105211
111,-1.12265,0.487931,0.137863
112,-1.44467,-1.0845,-0.272625
113,-0.867171,-0.647097,-0.358978
114,-0.29614,0.916017,0.169136
115,-0.202505,-1.35056,-0.421376
116,-1.0919,-3.26679,-1.43729
117,-1.86478,-2.77283,-1.82246
118,-2.05452,-2.01082,-1.77974
119,-1.81105,-1.19494,-1.46205
120,-2.27009,-2.21925,-1.67128
121,-3.11601,-4.3345,-2.37399
122,-2.82522,-2.70271,-2.37211
123,-2.73223,-2.55072,-2.28346
124,-2.44713,-2.48232,-2.22154
125,-2.10637,-2.35929,-2.07282
126,-1.46231,-1.82052,-1.89807
127,-1.7517,-2.52279,-1.98603
128,-0.981731,-0.906465,-1.49455
129,-1.23483,-3.41151,-2.02005
130,-1.2604,0.302411,-0.992269
131,-0.0921236,-2.09969,-1.28698
132,0.272816,-1.14239,-1.16318
133,-0.79403,-1.41112,-1.20245
134,-0.120226,0.0537402,-0.714567
135,-0.112599,0.703253,-0.143974
136,0.0416512,1.28362,0.416015
137,-0.41736,-0.2015,0.202173
138,0.118122,0.131074,0.138605
139,0.00732846,-1.72225,-0.488985
140,1.04012,-0.360098,-0.4189
141,0.644815,0.573141,-0.0261173
142,1.22454,0.664795,0.191321
143,0.84788,1.03139,0.494552
144,1.02905,1.54518,0.789415
145,0.639269,1.38163,1.00838
146,0.985465,0.484678,0.760666
147,1.16318,1.87111,1.09331
148,2.04589,0.83539,0.914219
149,1.46775,1.70976,1.14496
150,0.387297,1.30347,1.14356
151,1.20148,2.02963,1.395
152,0.832902,1.49161,1.35775
153,1.57066,1.6577,1.37433
154,1.02388,1.07904,1.14795
155,0.412183,1.82643,1.30731
156,0.384597,2.09076,1.52749
157,0.937125,0.825152,1.17897
158,0.63994,1.45363,1.22525
159,0.441529,1.08488,1.09863
160,0.999861,0.36999,0.741892
161,0.735238,0.332787,0.584668
162,0.425001,-0.629635,0.151577
163,-0.409202,-1.20571,-0.301887
164,-0.130622,-0.340639,-0.315688
165,-0.895435,-0.734082,-0.427057
166,-0.570048,0.468779,-0.0944422
167,-0.966495,-0.888086,-0.388875
168,-0.888363,0.218961,-0.148079
169,-1.46934,-2.5296,-1.03444
170,-2.00376,-2.57092,-1.46084
171,-0.675141,0.410965,-0.661957
172,-1.43299,-1.19818,-0.773041
173,-2.05703,-0.465317,-0.646181
174,-2.00065,-1.89092,-1.04604
175,-1.54369,-0.128723,-0.704356
176,-1.51773,-3.14025,-1.44943
177,-1.35317,-3.06167,-1.90248
178,-0.736456,0.980202,-0.789458
179,-0.0379078,-0.313717,-0.583061
180,-0.335835,1.02732,0.0397778
181,-0.137092,0.390292,0.141837
182,-0.872713,-1.33122,-0.381748
183,-0.192836,0.75688,0.0326383
184,-0.351069,-0.0665961,-0.00660907
185,-0.983106,1.29537,0.41449
186,-0.449925,-1.80827,-0.352515
187,-0.905291,0.197734,-0.144063
188,-0.754438,-0.762675,-0.340542
189,-0.753343,1.05761,0.138528
190,-1.12741,-2.03399,-0.577888
191,-1.0641,0.122079,-0.333205
192,-0.25574,-2.11053,-0.913358
193,-0.156562,0.667853,-0.30993
194,0.233111,0.105415,-0.151595
195,-0.667593,-1.89955,-0.803011
196,-0.482834,-0.962957,-0.787067
197,-1.06856,0.586417,-0.303384
198,-1.43405,-0.448328,-0.320601
199,-1.18189,-0.490271,-0.353091
200,-0.661301,-0.621559,-0.40723
201,-0.461645,-0.744961,-0.500024
202,-0.570654,-1.82165,-0.976758
203,-0.880058,-1.69932,-1.15851
204,-0.890054,-0.23317,-0.806856
205,-0.834487,1.35658,-0.0294443
206,-1.38807,-2.24385,-0.789829
207,-1.20944,-3.28945,-1.54818
208,-0.421563,1.62083,-0.379892
209,-0.306758,0.703379,0.0865643
210,-0.823135,-1.2608,-0.429872
211,0.558031,-0.119678,-0.334514
212,0.369069,2.1068,0.483425
213,0.32773,1.11391,0.617366
214,0.62856,1.08864,0.698968
215,0.0889748,0.652054,0.61619
216,0.495849,0.346659,0.454547
217,0.208075,0.0798634,0.253367
218,0.421549,-0.827626,-0.103761
219,1.63024,-0.0687638,-0.0948554
220,0.551811,2.78749,0.922141
221,-0.626204,-0.807194,0.31656
222,-0.598095,-0.47294,0.0169429
223,-1.02109,-0.975502,-0.324972
224,-0.465237,1.39977,0.252302
225,0.133144,0.290505,0.205713
226,-0.0693172,-0.335555,-0.0191723
227,-0.646834,-1.5751,-0.55015
228,-0.0620473,0.167581,-0.295299
229,-0.461231,0.191304,-0.0785377
230,-0.556662,-0.947601,-0.396764
231,-0.524206,-0.875347,-0.573879
232,-0.193196,-0.748743,-0.590943
233,0.0713334,-0.162657,-0.428736
234,-0.229074,0.874593,0.0589008
235,-0.520703,-0.969866,-0.321087
236,-0.752474,-0.0741748,-0.18705
237,-0.0278969,0.806189,0.17314
238,-0.386826,0.0440146,0.146175
239,-0.519987,-1.63657,-0.474739
