t, x_true, y_obs
237,-0.0278969,0.806189
238,-0.386826,0.0440146
239,-0.519987,-1.63657
240,0.00309473,0.356858
241,0.253996,2.76954
242,0.0191366,1.64566
243,0.274141,1.91225
244,0.42948,-0.14441
245,-0.276696,-1.73012
246,0.732385,1.06088
247,1.11006,1.36806
248,0.688751,0.851513
249,0.612857,0.00336184
250,0.582823,0.111715
251,0.840599,1.19249
252,1.60739,0.0736383
253,2.07925,1.74383
254,2.19703,3.54851
255,1.68747,1.46556
256,1.84387,1.54556
257,0.880689,2.55221
258,0.699592,1.20558
259,0.207946,-1.16175
260,-0.485191,-0.821814
261,-0.482552,-0.0990079
262,0.00259481,3.10746
263,1.29912,1.21627
264,1.92407,2.52386
265,1.09305,2.33938
266,1.3584,3.01539
267,0.529768,-2.08007
268,0.423128,0.223188
269,1.15194,0.466205
270,0.37421,1.42122
271,0.345232,-1.27323
272,-0.0727679,-0.223188
273,-0.361143,-1.24814
274,0.769847,-0.526655
275,-0.125501,1.36919
276,-0.346807,-0.172899
277,-0.570351,-1.80769
278,-0.417847,-1.29895
279,0.609772,0.677526
280,0.622811,1.05068
281,0.194188,0.794182
282,-0.0544495,-0.157294
283,0.28523,0.658626
284,0.355851,0.536497
285,0.739859,-0.250168
286,-0.140862,-0.475369
287,-0.428945,0.794245
288,-0.441811,0.348089
289,-1.13217,-2.4727
290,-0.349895,-2.36945
291,0.79119,-1.36004
292,0.732915,1.18401
293,0.661015,1.28341
294,0.639718,0.48973
295,1.08697,1.94187
296,1.63765,2.55428
297,0.880538,0.783652
298,0.559077,1.02077
299,0.764378,3.22015
300,0.815065,1.13127
301,0.779276,0.238953
302,1.17582,0.353197
303,0.827421,-0.174347
304,2.0177,2.59699
305,1.58446,1.76097
306,0.616907,1.68676
307,0.772994,1.35967
308,0.573295,0.126148
309,0.475836,-0.836004
310,-0.103449,0.455292
311,0.274018,0.940999
312,-0.0622898,1.64626
313,0.138919,0.820216
314,-0.24929,0.881413
315,-1.06799,0.0939378
316,-0.341912,-0.862826
317,-0.980405,0.709232
318,-1.00562,-2.50521
319,-0.911196,-0.0427527
320,-0.164471,-0.491308
321,0.476546,0.456527
322,-0.0277081,0.837609
323,0.361616,0.125036
324,0.538044,0.693471
325,0.338837,-0.817913
326,-0.305206,1.00487
327,-0.17802,0.187281
328,-1.15718,-3.67222
329,0.0544888,0.427548
330,-0.302492,0.275626
331,-0.489297,-0.401982
332,-0.378753,-2.3479
333,-0.852587,-0.565669
334,-0.512189,-0.572709
335,-1.2516,-1.00973
336,-0.763555,-2.41999
337,-0.115206,-0.677806
338,0.716059,-0.779819
339,0.0290654,-0.740703
340,0.494788,-0.779581
341,0.0789323,0.569569
342,0.30634,-0.126192
343,-0.360706,-2.30469
344,-0.527736,-0.760408
345,-0.28148,-1.27494
346,-1.0197,-0.603463
347,-0.978903,-0.162786
348,-1.75243,-2.14202
349,-1.03141,-0.0195036
350,-0.680968,-0.215923
351,-0.450283,0.358646
352,-0.414429,-1.36315
353,-0.189758,0.821105
354,-0.472951,0.620117
355,-1.64261,-1.40685
356,-1.78379,-0.539758
357,-2.00439,-1.05588
358,-2.14575,-2.35709
359,-1.94475,-2.2533
360,-1.78681,-1.82359
361,-1.58764,-2.66127
362,-1.84339,-0.983189
363,-2.21629,-1.90125
364,-2.0176,-3.23006
365,-1.99083,0.138115
366,-1.6055,-0.480702
367,-1.29769,-1.83784
368,-1.46897,-1.48236
369,-1.53417,-0.0560473
370,-1.05075,-0.888081
371,-1.03498,-0.828734
372,-0.633161,-0.988473
373,-0.447336,-1.74087
374,-0.0229967,1.52153
375,0.322586,1.51948
376,0.446573,1.22041
377,0.719036,0.950549
378,0.503337,1.71408
379,0.223935,-0.170046
380,-0.520737,-0.49169
381,-0.737508,-0.00324741
382,-0.673745,0.932374
383,-1.10254,-0.0349428
384,-0.951506,-1.85602
385,-1.29518,-1.87781
386,-0.856824,-1.76395
387,-0.543297,-1.87101
388,-0.0639201,0.292247
389,0.198341,1.88533
390,0.392913,-0.0185081
391,0.00796294,-2.70614
392,0.0853557,-0.401401
393,-0.0602941,-0.114039
394,-0.531296,-1.60055
395,-0.718267,-0.544351
396,-0.581908,-2.52979
397,0.0118451,-0.138991
398,0.186305,1.3461
399,0.438906,0.847252
400,0.618016,0.0607347
401,0.709746,-0.113372
402,0.873771,1.88584
403,0.906048,-0.431825
404,0.697122,1.10138
405,0.526984,0.403806
406,0.0529757,-0.249274
407,0.083867,0.0702642
408,0.496705,2.07949
409,0.625847,0.128348
410,0.606299,0.973531
411,0.10179,-1.18115
412,0.7239,-0.0794639
413,0.244833,-1.11257
414,0.855665,-0.0877182
415,0.199216,0.247885
416,1.18921,1.56929
417,1.46474,1.49206
418,1.10505,2.46113
419,0.719203,-0.140137
420,0.642739,1.01026
421,0.773409,0.271306
422,0.842765,-0.415967
423,0.896843,-0.212803
424,0.874251,-0.749706
425,0.487642,0.736841
426,0.662558,2.60643
427,0.994153,0.517151
428,0.735951,1.20551
429,0.550229,0.214249
430,0.198023,-0.305123
431,0.349527,1.03295
432,0.744202,-0.816688
433,0.383634,0.145355
434,0.296409,0.247032
435,0.460889,1.3043
436,0.434233,2.47598
437,1.49057,0.0188816
438,0.491413,1.23682
439,0.114454,-1.08365
440,0.722324,0.164215
441,1.07627,2.93695
442,0.56457,2.28642
443,0.251457,-0.266455
444,0.1884,-0.200174
445,-0.00493257,-0.0824664
446,0.285515,-0.525975
447,0.620624,0.412993
448,1.01199,1.81855
449,0.818208,-0.596744
450,0.455081,-0.832867
451,0.890907,1.18883
452,0.646875,-0.803837
453,0.32796,1.15729
454,0.720023,1.75826
455,0.430105,0.136566
456,0.766148,0.396579
457,0.979122,-0.202821
458,0.282118,0.969981
459,0.0654083,1.14178
460,-0.276258,0.855777
461,-0.351238,0.783242
462,0.574925,1.38391
463,0.54522,0.243965
464,1.15644,2.43854
465,1.19926,0.363311
466,1.47847,0.90832
467,1.99852,1.82993
468,1.65068,1.73174
469,1.61679,1.05491
470,2.55053,2.1915
471,2.15926,2.7361
472,1.30989,0.90567
473,1.29273,2.56637
474,0.730696,0.837856
475,0.793563,-0.144614
476,0.156833,0.0425447
477,0.0668857,-1.54047
478,0.0399112,0.0860251
479,-0.665958,-3.28975
480,-0.592201,-0.390301
481,-0.542132,-1.81017
482,-0.159679,0.902556
483,-0.573741,1.45955
484,-0.198913,-1.44053
485,-0.0168218,0.614235
486,-0.466183,0.599165
487,0.439861,0.524644
488,0.657755,0.915717
489,-0.252302,-0.797748
490,-0.0636722,0.0976857
491,-0.319077,-1.22844
492,-0.313179,-0.39678
493,1.05489,3.13724
494,0.838491,1.37488
495,-0.345163,1.17236
496,-0.363973,-1.3872
497,-0.878715,-0.156019
498,0.329028,1.41355
499,0.90326,2.35019
