t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0386027
1,-0.953624,-2.96459,-1.19315
2,-0.661972,-0.58214,-0.894939
3,-0.584664,-1.11648,-0.914168
4,-0.415158,-0.272694,-0.630249
5,0.193527,-0.331595,-0.484931
6,-0.839185,-0.0599926,-0.306569
7,-0.190153,-0.576626,-0.379823
8,0.111919,-1.26602,-0.662892
9,-0.130006,-0.306291,-0.494829
10,0.232194,-0.674992,-0.526217
11,0.601741,0.865227,-0.00828777
12,0.771975,-0.737982,-0.260457
13,0.273068,0.229531,-0.0728561
14,-0.535773,0.394812,0.0933857
15,-0.132975,0.529309,0.238468
16,-0.20378,-0.449528,-0.0165064
17,0.422684,-1.15147,-0.409432
18,-0.641796,-1.57556,-0.787035
19,-0.885054,-2.26577,-1.24872
20,-0.826457,0.967823,-0.398172
21,-0.594986,-2.01358,-0.933141
22,-0.467611,0.23737,-0.466576
23,-1.15433,-1.25959,-0.709942
24,-1.24628,-1.59036,-0.968608
25,-1.28547,-1.54365,-1.10455
26,-1.83162,-1.7046,-1.23988
27,-0.675896,-1.58288,-1.278
28,-0.849868,-2.94147,-1.77052
29,-0.772622,0.0452511,-1.02423
30,-1.07452,-1.1389,-0.997482
31,-1.00712,0.4264,-0.439063
32,-2.15578,0.00294549,-0.25664
33,-2.04737,-1.31953,-0.607541
34,-1.66455,-0.4465,-0.511632
35,-1.7195,0.214343,-0.226337
36,-1.75577,-1.03765,-0.49242
37,-1.84828,-1.42026,-0.781312
38,-1.42246,-2.26004,-1.24116
39,-0.344054,-0.969671,-1.06666
40,-0.303132,-0.240307,-0.710752
41,-0.346292,0.618519,-0.20466
42,-0.257306,0.66336,0.109235
43,0.0949484,-1.75485,-0.543581
44,-0.407237,-3.28669,-1.46261
45,-0.368942,-0.831469,-1.14669
46,0.101567,0.519685,-0.493452
47,1.22808,1.76769,0.320222
48,1.09955,0.958654,0.520435
49,1.63977,2.48989,1.16917
50,1.47344,2.95329,1.71019
51,0.434475,0.761698,1.26984
52,0.327225,2.44611,1.59587
53,-0.180257,-0.291461,0.837519
54,-0.832933,-1.98065,-0.198731
55,-1.17726,-0.294422,-0.219455
56,-0.850214,-2.6521,-1.04747
57,-1.54091,-2.27386,-1.40465
58,-1.66479,-3.22535,-1.94542
59,-2.09838,-1.94854,-1.8186
60,-1.71133,-0.744938,-1.3282
61,-0.934998,-1.30952,-1.23478
62,-1.22425,-2.53217,-1.60371
63,-1.5306,0.250689,-0.856421
64,-2.15196,-1.9681,-1.18727
65,-0.86944,0.786022,-0.42402
66,-0.739213,-1.41922,-0.74227
67,-0.805619,-1.35487,-0.905817
68,0.331499,0.00710359,-0.52936
69,1.89187,2.8645,0.678569
70,1.87471,2.48255,1.25963
71,1.17004,1.65126,1.31295
72,1.62155,0.476597,0.937591
73,1.01785,0.599342,0.758603
74,0.144204,-1.01131,0.0935545
75,-0.432693,-0.461114,-0.105514
76,-0.910904,-0.462255,-0.222258
77,-1.92819,-0.0577704,-0.151471
78,-2.043,-1.55086,-0.624764
79,-1.74845,-0.983973,-0.707674
80,-2.00491,-1.37206,-0.891826
81,-3.03272,-3.62237,-1.7805
82,-2.93509,-2.83152,-2.02859
83,-3.31274,-2.1892,-1.95134
84,-3.15276,-2.82824,-2.12772
85,-2.39299,-2.33742,-2.06104
86,-2.87342,-1.98722,-1.90015
87,-2.56391,-2.1184,-1.8525
88,-2.16257,-3.90586,-2.44567
89,-2.02825,-0.549997,-1.62851
90,-2.22128,-3.80775,-2.27758
91,-1.27728,-0.425337,-1.48758
92,-0.872207,-1.97643,-1.56094
93,-1.05962,-1.0022,-1.26573
94,-0.274246,-0.228638,-0.823998
95,-0.380521,0.463053,-0.324182
96,-0.693376,0.743379,0.0675417
97,-0.69568,-1.00386,-0.309307
98,-0.39475,-1.7472,-0.787132
99,-0.754392,-1.07777,-0.835545
100,0.184921,-0.461379,-0.651529
101,1.00877,1.15082,0.0165728
102,0.753022,0.645037,0.234299
103,0.369827,0.628494,0.355176
104,0.442186,2.08105,0.928112
105,0.481182,1.40533,1.03246
106,-0.242297,-0.898826,0.29521
107,-0.654119,-0.31817,0.0630256
108,-0.589525,0.685938,0.274938
109,-0.0620364,0.351676,0.283836
110,-1.36023,-0.766485,-0.0978785
111,-1.12265,0.487931,0.111928
112,-1.44467,-1.0845,-0.310238
113,-0.867171,-0.647097,-0.406477
114,-0.29614,0.916017,0.0808114
115,-0.202505,-1.35056,-0.420391
116,-1.0919,-3.26679,-1.38217
117,-1.86478,-2.77283,-1.77538
118,-2.05452,-2.01082,-1.73819
119,-1.81105,-1.19494,-1.436
120,-2.27009,-2.21925,-1.61392
121,-3.11601,-4.3345,-2.45528
122,-2.82522,-2.70271,-2.38016
123,-2.73223,-2.55072,-2.28334
124,-2.44713,-2.48232,-2.20364
125,-2.10637,-2.35929,-2.11342
126,-1.46231,-1.82052,-1.87516
127,-1.7517,-2.52279,-1.97504
128,-0.981731,-0.906465,-1.47576
129,-1.23483,-3.41151,-2.05416
130,-1.2604,0.302411,-1.10222
131,-0.0921236,-2.09969,-1.37649
132,0.272816,-1.14239,-1.20512
133,-0.79403,-1.41112,-1.19855
134,-0.120226,0.0537402,-0.685111
135,-0.112599,0.703253,-0.157465
136,0.0416512,1.28362,0.353292
137,-0.41736,-0.2015,0.13756
138,0.118122,0.131074,0.127171
139,0.00732846,-1.72225,-0.521629
140,1.04012,-0.360098,-0.431929
141,0.644815,0.573141,-0.0552666
142,1.22454,0.664795,0.196816
143,0.84788,1.03139,0.473139
144,1.02905,1.54518,0.813904
145,0.639269,1.38163,0.95772
146,0.985465,0.484678,0.731741
147,1.16318,1.87111,1.0788
148,2.04589,0.83539,0.922632
149,1.46775,1.70976,1.13513
150,0.387297,1.30347,1.11873
151,1.20148,2.02963,1.36174
152,0.832902,1.49161,1.31736
153,1.57066,1.6577,1.34863
154,1.02388,1.07904,1.16728
155,0.412183,1.82643,1.32077
156,0.384597,2.09076,1.50297
157,0.937125,0.825152,1.17018
158,0.63994,1.45363,1.19273
159,0.441529,1.08488,1.07707
160,0.999861,0.36999,0.760466
161,0.735238,0.332787,0.562298
162,0.425001,-0.629635,0.112832
163,-0.409202,-1.20571,-0.351513
164,-0.130622,-0.340639,-0.32541
165,-0.895435,-0.734082,-0.445597
166,-0.570048,0.468779,-0.0986863
167,-0.966495,-0.888086,-0.366004
168,-0.888363,0.218961,-0.1402
169,-1.46934,-2.5296,-0.95679
170,-2.00376,-2.57092,-1.45143
171,-0.675141,0.410965,-0.712301
172,-1.43299,-1.19818,-0.834775
173,-2.05703,-0.465317,-0.653452
174,-2.00065,-1.89092,-1.03999
175,-1.54369,-0.128723,-0.657523
176,-1.51773,-3.14025,-1.47377
177,-1.35317,-3.06167,-1.92644
178,-0.736456,0.980202,-0.79346
179,-0.0379078,-0.313717,-0.576157
180,-0.335835,1.02732,0.0178142
181,-0.137092,0.390292,0.146485
182,-0.872713,-1.33122,-0.375092
183,-0.192836,0.75688,0.0429763
184,-0.351069,-0.0665961,0.00312565
185,-0.983106,1.29537,0.451266
186,-0.449925,-1.80827,-0.361514
187,-0.905291,0.197734,-0.143466
188,-0.754438,-0.762675,-0.349653
189,-0.753343,1.05761,0.161498
190,-1.12741,-2.03399,-0.610197
191,-1.0641,0.122079,-0.317277
192,-0.25574,-2.11053,-0.918063
193,-0.156562,0.667853,-0.308852
194,0.233111,0.105415,-0.143766
195,-0.667593,-1.89955,-0.745396
196,-0.482834,-0.962957,-0.771356
197,-1.06856,0.586417,-0.250802
198,-1.43405,-0.448328,-0.302481
199,-1.18189,-0.490271,-0.347823
200,-0.661301,-0.621559,-0.420899
201,-0.461645,-0.744961,-0.505023
202,-0.570654,-1.82165,-0.927161
203,-0.880058,-1.69932,-1.13542
204,-0.890054,-0.23317,-0.749223
205,-0.834487,1.35658,0.0275757
206,-1.38807,-2.24385,-0.762486
207,-1.20944,-3.28945,-1.58696
208,-0.421563,1.62083,-0.371184
209,-0.306758,0.703379,0.0261115
210,-0.823135,-1.2608,-0.422122
211,0.558031,-0.119678,-0.289167
212,0.369069,2.1068,0.558643
213,0.32773,1.11391,0.714325
214,0.62856,1.08864,0.798682
215,0.0889748,0.652054,0.694587
216,0.495849,0.346659,0.528785
217,0.208075,0.0798634,0.338429
218,0.421549,-0.827626,-0.0888865
219,1.63024,-0.0687638,-0.076691
220,0.551811,2.78749,0.918779
221,-0.626204,-0.807194,0.261322
222,-0.598095,-0.47294,-0.0101607
223,-1.02109,-0.975502,-0.34366
224,-0.465237,1.39977,0.281458
225,0.133144,0.290505,0.266624
226,-0.0693172,-0.335555,0.038194
227,-0.646834,-1.5751,-0.522155
228,-0.0620473,0.167581,-0.248774
229,-0.461231,0.191304,-0.0807568
230,-0.556662,-0.947601,-0.376182
231,-0.524206,-0.875347,-0.524089
232,-0.193196,-0.748743,-0.567493
233,0.0713334,-0.162657,-0.390213
234,-0.229074,0.874593,0.0732729
235,-0.520703,-0.969866,-0.292842
236,-0.752474,-0.0741748,-0.199401
237,-0.0278969,0.806189,0.162779
238,-0.386826,0.0440146,0.110691
239,-0.519987,-1.63657,-0.50268
240,0.00309473,0.356858,-0.171656
241,0.253996,2.76954,0.85776
