t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0436843
1,-0.953624,-2.96459,-1.17288
2,-0.661972,-0.58214,-0.875617
3,-0.584664,-1.11648,-0.88324
4,-0.415158,-0.272694,-0.624316
5,0.193527,-0.331595,-0.46822
6,-0.839185,-0.0599926,-0.307516
7,-0.190153,-0.576626,-0.378259
8,0.111919,-1.26602,-0.656628
9,-0.130006,-0.306291,-0.462477
10,0.232194,-0.674992,-0.49679
11,0.601741,0.865227,0.0190819
12,0.771975,-0.737982,-0.236045
13,0.273068,0.229531,-0.0543317
14,-0.535773,0.394812,0.118807
15,-0.132975,0.529309,0.260543
16,-0.20378,-0.449528,-0.00645068
17,0.422684,-1.15147,-0.404617
18,-0.641796,-1.57556,-0.80179
19,-0.885054,-2.26577,-1.23386
20,-0.826457,0.967823,-0.394088
21,-0.594986,-2.01358,-0.90108
22,-0.467611,0.23737,-0.453012
23,-1.15433,-1.25959,-0.705858
24,-1.24628,-1.59036,-0.980527
25,-1.28547,-1.54365,-1.10839
26,-1.83162,-1.7046,-1.20587
27,-0.675896,-1.58288,-1.25023
28,-0.849868,-2.94147,-1.76037
29,-0.772622,0.0452511,-1.03985
30,-1.07452,-1.1389,-1.00054
31,-1.00712,0.4264,-0.430289
32,-2.15578,0.00294549,-0.259154
33,-2.04737,-1.31953,-0.597869
34,-1.66455,-0.4465,-0.507814
35,-1.7195,0.214343,-0.239914
36,-1.75577,-1.03765,-0.463478
37,-1.84828,-1.42026,-0.769362
38,-1.42246,-2.26004,-1.22098
39,-0.344054,-0.969671,-1.06712
40,-0.303132,-0.240307,-0.721603
41,-0.346292,0.618519,-0.192767
42,-0.257306,0.66336,0.0904983
43,0.0949484,-1.75485,-0.527266
44,-0.407237,-3.28669,-1.45983
45,-0.368942,-0.831469,-1.12288
46,0.101567,0.519685,-0.4892
47,1.22808,1.76769,0.310445
48,1.09955,0.958654,0.509776
49,1.63977,2.48989,1.10919
50,1.47344,2.95329,1.68663
51,0.434475,0.761698,1.2169
