t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0417892
1,-0.953624,-2.96459,-1.1964
2,-0.661972,-0.58214,-0.896291
3,-0.584664,-1.11648,-0.917315
4,-0.415158,-0.272694,-0.630929
5,0.193527,-0.331595,-0.484942
6,-0.839185,-0.0599926,-0.305245
7,-0.190153,-0.576626,-0.381949
8,0.111919,-1.26602,-0.665209
9,-0.130006,-0.306291,-0.499751
10,0.232194,-0.674992,-0.530401
11,0.601741,0.865227,-0.0117174
12,0.771975,-0.737982,-0.264253
13,0.273068,0.229531,-0.0757604
14,-0.535773,0.394812,0.0917218
15,-0.132975,0.529309,0.237881
16,-0.20378,-0.449528,-0.0134931
17,0.422684,-1.15147,-0.408259
18,-0.641796,-1.57556,-0.787168
19,-0.885054,-2.26577,-1.24368
20,-0.826457,0.967823,-0.400728
21,-0.594986,-2.01358,-0.928945
22,-0.467611,0.23737,-0.461457
23,-1.15433,-1.25959,-0.706565
24,-1.24628,-1.59036,-0.970285
25,-1.28547,-1.54365,-1.10628
26,-1.83162,-1.7046,-1.24146
27,-0.675896,-1.58288,-1.2787
28,-0.849868,-2.94147,-1.77077
29,-0.772622,0.0452511,-1.02479
30,-1.07452,-1.1389,-0.998369
31,-1.00712,0.4264,-0.434348
32,-2.15578,0.00294549,-0.254226
33,-2.04737,-1.31953,-0.608439
34,-1.66455,-0.4465,-0.510845
35,-1.7195,0.214343,-0.226135
36,-1.75577,-1.03765,-0.495225
37,-1.84828,-1.42026,-0.786788
38,-1.42246,-2.26004,-1.24073
39,-0.344054,-0.969671,-1.06577
40,-0.303132,-0.240307,-0.711439
41,-0.346292,0.618519,-0.206054
42,-0.257306,0.66336,0.109333
43,0.0949484,-1.75485,-0.544724
44,-0.407237,-3.28669,-1.46153
45,-0.368942,-0.831469,-1.14535
46,0.101567,0.519685,-0.49461
47,1.22808,1.76769,0.328825
48,1.09955,0.958654,0.525991
49,1.63977,2.48989,1.17303
50,1.47344,2.95329,1.71352
51,0.434475,0.761698,1.26917
52,0.327225,2.44611,1.59342
53,-0.180257,-0.291461,0.840829
54,-0.832933,-1.98065,-0.186671
55,-1.17726,-0.294422,-0.211205
56,-0.850214,-2.6521,-1.04486
57,-1.54091,-2.27386,-1.40467
58,-1.66479,-3.22535,-1.93826
59,-2.09838,-1.94854,-1.81532
60,-1.71133,-0.744938,-1.32716
61,-0.934998,-1.30952,-1.23518
62,-1.22425,-2.53217,-1.60035
63,-1.5306,0.250689,-0.858242
64,-2.15196,-1.9681,-1.18648
65,-0.86944,0.786022,-0.424473
66,-0.739213,-1.41922,-0.740401
67,-0.805619,-1.35487,-0.904315
68,0.331499,0.00710359,-0.525354
69,1.89187,2.8645,0.677226
70,1.87471,2.48255,1.25482
71,1.17004,1.65126,1.30967
72,1.62155,0.476597,0.935203
73,1.01785,0.599342,0.758834
74,0.144204,-1.01131,0.096935
75,-0.432693,-0.461114,-0.103673
76,-0.910904,-0.462255,-0.221329
77,-1.92819,-0.0577704,-0.150021
78,-2.043,-1.55086,-0.624261
79,-1.74845,-0.983973,-0.708722
80,-2.00491,-1.37206,-0.894772
81,-3.03272,-3.62237,-1.78587
82,-2.93509,-2.83152,-2.03074
83,-3.31274,-2.1892,-1.95507
84,-3.15276,-2.82824,-2.1313
85,-2.39299,-2.33742,-2.06098
86,-2.87342,-1.98722,-1.90075
87,-2.56391,-2.1184,-1.85268
88,-2.16257,-3.90586,-2.43807
89,-2.02825,-0.549997,-1.63047
90,-2.22128,-3.80775,-2.2793
91,-1.27728,-0.425337,-1.48732
92,-0.872207,-1.97643,-1.56079
93,-1.05962,-1.0022,-1.26383
94,-0.274246,-0.228638,-0.824456
95,-0.380521,0.463053,-0.325705
96,-0.693376,0.743379,0.0675546
97,-0.69568,-1.00386,-0.310336
98,-0.39475,-1.7472,-0.785673
99,-0.754392,-1.07777,-0.836999
100,0.184921,-0.461379,-0.654087
101,1.00877,1.15082,0.0170592
102,0.753022,0.645037,0.236232
103,0.369827,0.628494,0.356453
104,0.442186,2.08105,0.933218
105,0.481182,1.40533,1.03238
106,-0.242297,-0.898826,0.296526
107,-0.654119,-0.31817,0.0628804
108,-0.589525,0.685938,0.27576
109,-0.0620364,0.351676,0.28305
110,-1.36023,-0.766485,-0.0978081
111,-1.12265,0.487931,0.109203
112,-1.44467,-1.0845,-0.312506
113,-0.867171,-0.647097,-0.411196
114,-0.29614,0.916017,0.0768839
115,-0.202505,-1.35056,-0.428145
116,-1.0919,-3.26679,-1.3957
117,-1.86478,-2.77283,-1.78468
118,-2.05452,-2.01082,-1.74686
119,-1.81105,-1.19494,-1.4423
120,-2.27009,-2.21925,-1.61853
121,-3.11601,-4.3345,-2.45814
122,-2.82522,-2.70271,-2.38096
123,-2.73223,-2.55072,-2.28618
124,-2.44713,-2.48232,-2.20394
125,-2.10637,-2.35929,-2.11035
126,-1.46231,-1.82052,-1.8709
127,-1.7517,-2.52279,-1.97354
128,-0.981731,-0.906465,-1.47514
129,-1.23483,-3.41151,-2.05122
130,-1.2604,0.302411,-1.10216
131,-0.0921236,-2.09969,-1.37297
132,0.272816,-1.14239,-1.20499
133,-0.79403,-1.41112,-1.19675
134,-0.120226,0.0537402,-0.684171
135,-0.112599,0.703253,-0.160626
136,0.0416512,1.28362,0.353418
137,-0.41736,-0.2015,0.139414
138,0.118122,0.131074,0.127365
139,0.00732846,-1.72225,-0.524225
140,1.04012,-0.360098,-0.435476
141,0.644815,0.573141,-0.0544533
142,1.22454,0.664795,0.198573
143,0.84788,1.03139,0.475651
144,1.02905,1.54518,0.816458
145,0.639269,1.38163,0.959716
146,0.985465,0.484678,0.731203
147,1.16318,1.87111,1.07823
148,2.04589,0.83539,0.924499
149,1.46775,1.70976,1.13649
150,0.387297,1.30347,1.11955
151,1.20148,2.02963,1.35914
152,0.832902,1.49161,1.31864
153,1.57066,1.6577,1.34847
154,1.02388,1.07904,1.16503
155,0.412183,1.82643,1.31748
156,0.384597,2.09076,1.50121
157,0.937125,0.825152,1.16514
158,0.63994,1.45363,1.18868
159,0.441529,1.08488,1.0734
160,0.999861,0.36999,0.76163
161,0.735238,0.332787,0.562867
162,0.425001,-0.629635,0.111824
163,-0.409202,-1.20571,-0.351908
164,-0.130622,-0.340639,-0.326531
165,-0.895435,-0.734082,-0.447142
166,-0.570048,0.468779,-0.101547
167,-0.966495,-0.888086,-0.364971
168,-0.888363,0.218961,-0.138202
169,-1.46934,-2.5296,-0.959535
170,-2.00376,-2.57092,-1.45229
171,-0.675141,0.410965,-0.713367
172,-1.43299,-1.19818,-0.833644
173,-2.05703,-0.465317,-0.651578
174,-2.00065,-1.89092,-1.03917
175,-1.54369,-0.128723,-0.656348
176,-1.51773,-3.14025,-1.47743
177,-1.35317,-3.06167,-1.93478
178,-0.736456,0.980202,-0.799996
179,-0.0379078,-0.313717,-0.577696
180,-0.335835,1.02732,0.0163129
181,-0.137092,0.390292,0.144904
182,-0.872713,-1.33122,-0.375188
183,-0.192836,0.75688,0.040201
184,-0.351069,-0.0665961,0.000882632
185,-0.983106,1.29537,0.450254
186,-0.449925,-1.80827,-0.361765
187,-0.905291,0.197734,-0.143562
188,-0.754438,-0.762675,-0.349062
189,-0.753343,1.05761,0.161285
190,-1.12741,-2.03399,-0.610089
191,-1.0641,0.122079,-0.315398
192,-0.25574,-2.11053,-0.915302
193,-0.156562,0.667853,-0.306165
194,0.233111,0.105415,-0.140852
195,-0.667593,-1.89955,-0.741761
196,-0.482834,-0.962957,-0.771061
197,-1.06856,0.586417,-0.250154
198,-1.43405,-0.448328,-0.303111
199,-1.18189,-0.490271,-0.3468
200,-0.661301,-0.621559,-0.418592
201,-0.461645,-0.744961,-0.503569
202,-0.570654,-1.82165,-0.927604
203,-0.880058,-1.69932,-1.13151
204,-0.890054,-0.23317,-0.748101
205,-0.834487,1.35658,0.0284037
206,-1.38807,-2.24385,-0.755315
207,-1.20944,-3.28945,-1.57481
208,-0.421563,1.62083,-0.370228
209,-0.306758,0.703379,0.0273812
210,-0.823135,-1.2608,-0.415197
211,0.558031,-0.119678,-0.286797
212,0.369069,2.1068,0.568191
213,0.32773,1.11391,0.720712
214,0.62856,1.08864,0.803368
215,0.0889748,0.652054,0.695417
216,0.495849,0.346659,0.528654
217,0.208075,0.0798634,0.338234
218,0.421549,-0.827626,-0.0884434
219,1.63024,-0.0687638,-0.0773166
220,0.551811,2.78749,0.923878
221,-0.626204,-0.807194,0.259099
222,-0.598095,-0.47294,-0.0137551
223,-1.02109,-0.975502,-0.343593
224,-0.465237,1.39977,0.282242
225,0.133144,0.290505,0.265757
226,-0.0693172,-0.335555,0.0385543
227,-0.646834,-1.5751,-0.521046
228,-0.0620473,0.167581,-0.246036
229,-0.461231,0.191304,-0.0761385
230,-0.556662,-0.947601,-0.374477
231,-0.524206,-0.875347,-0.521348
232,-0.193196,-0.748743,-0.565907
233,0.0713334,-0.162657,-0.389975
234,-0.229074,0.874593,0.0717211
235,-0.520703,-0.969866,-0.292267
236,-0.752474,-0.0741748,-0.197857
237,-0.0278969,0.806189,0.165956
238,-0.386826,0.0440146,0.10999
239,-0.519987,-1.63657,-0.507215
240,0.00309473,0.356858,-0.174309
241,0.253996,2.76954,0.862601
242,0.0191366,1.64566,1.07987
243,0.274141,1.91225,1.30397
244,0.42948,-0.14441,0.715437
245,-0.276696,-1.73012,-0.183137
246,0.732385,1.06088,0.261989
247,1.11006,1.36806,0.62841
248,0.688751,0.851513,0.664886
249,0.612857,0.00336184,0.394286
250,0.582823,0.111715,0.272028
251,0.840599,1.19249,0.573244
252,1.60739,0.0736383,0.363015
253,2.07925,1.74383,0.811494
254,2.19703,3.54851,1.71199
255,1.68747,1.46556,1.51374
256,1.84387,1.54556,1.42449
257,0.880689,2.55221,1.72014
258,0.699592,1.20558,1.43062
259,0.207946,-1.16175,0.438104
260,-0.485191,-0.821814,-0.0269352
261,-0.482552,-0.0990079,-0.0501455
262,0.00259481,3.10746,1.04737
263,1.29912,1.21627,1.03872
264,1.92407,2.52386,1.48482
265,1.09305,2.33938,1.68388
266,1.3584,3.01539,2.03627
267,0.529768,-2.08007,0.482211
268,0.423128,0.223188,0.359022
269,1.15194,0.466205,0.370355
270,0.37421,1.42122,0.709677
271,0.345232,-1.27323,-0.0231088
272,-0.0727679,-0.223188,-0.0922935
273,-0.361143,-1.24814,-0.484917
274,0.769847,-0.526655,-0.46835
275,-0.125501,1.36919,0.199763
276,-0.346807,-0.172899,0.0595312
277,-0.570351,-1.80769,-0.588157
278,-0.417847,-1.29895,-0.794329
279,0.609772,0.677526,-0.230548
280,0.622811,1.05068,0.227189
281,0.194188,0.794182,0.411002
282,-0.0544495,-0.157294,0.189649
283,0.28523,0.658626,0.34013
284,0.355851,0.536497,0.38578
285,0.739859,-0.250168,0.139327
286,-0.140862,-0.475369,-0.0830742
287,-0.428945,0.794245,0.226085
288,-0.441811,0.348089,0.253576
289,-1.13217,-2.4727,-0.706847
290,-0.349895,-2.36945,-1.23864
291,0.79119,-1.36004,-1.19871
292,0.732915,1.18401,-0.298383
293,0.661015,1.28341,0.265777
294,0.639718,0.48973,0.326606
295,1.08697,1.94187,0.864545
296,1.63765,2.55428,1.39421
297,0.880538,0.783652,1.09546
298,0.559077,1.02077,0.996568
299,0.764378,3.22015,1.69702
300,0.815065,1.13127,1.38788
301,0.779276,0.238953,0.901072
302,1.17582,0.353197,0.651209
303,0.827421,-0.174347,0.322444
304,2.0177,2.59699,1.08915
305,1.58446,1.76097,1.24866
306,0.616907,1.68676,1.32045
307,0.772994,1.35967,1.24752
308,0.573295,0.126148,0.777249
309,0.475836,-0.836004,0.168157
310,-0.103449,0.455292,0.252795
311,0.274018,0.940999,0.472439
312,-0.0622898,1.64626,0.851427
313,0.138919,0.820216,0.787525
314,-0.24929,0.881413,0.768858
315,-1.06799,0.0939378,0.483983
316,-0.341912,-0.862826,-0.0126799
317,-0.980405,0.709232,0.23783
318,-1.00562,-2.50521,-0.731522
319,-0.911196,-0.0427527,-0.445052
320,-0.164471,-0.491308,-0.428436
321,0.476546,0.456527,-0.0955647
322,-0.0277081,0.837609,0.236175
323,0.361616,0.125036,0.179289
324,0.538044,0.693471,0.347153
325,0.338837,-0.817913,-0.0803693
326,-0.305206,1.00487,0.30124
327,-0.17802,0.187281,0.240798
328,-1.15718,-3.67222,-1.11844
329,0.0544888,0.427548,-0.515276
330,-0.302492,0.275626,-0.210323
331,-0.489297,-0.401982,-0.261183
332,-0.378753,-2.3479,-0.973326
333,-0.852587,-0.565669,-0.768218
334,-0.512189,-0.572709,-0.652104
335,-1.2516,-1.00973,-0.734638
336,-0.763555,-2.41999,-1.27127
337,-0.115206,-0.677806,-0.978918
338,0.716059,-0.779819,-0.845194
339,0.0290654,-0.740703,-0.751584
340,0.494788,-0.779581,-0.711937
341,0.0789323,0.569569,-0.218605
342,0.30634,-0.126192,-0.172482
343,-0.360706,-2.30469,-0.891371
344,-0.527736,-0.760408,-0.789792
345,-0.28148,-1.27494,-0.911063
346,-1.0197,-0.603463,-0.7454
347,-0.978903,-0.162786,-0.494144
348,-1.75243,-2.14202,-1.03212
349,-1.03141,-0.0195036,-0.616008
350,-0.680968,-0.215923,-0.432764
351,-0.450283,0.358646,-0.130507
352,-0.414429,-1.36315,-0.551545
353,-0.189758,0.821105,-0.0407447
354,-0.472951,0.620117,0.189958
355,-1.64261,-1.40685,-0.375153
356,-1.78379,-0.539758,-0.408173
357,-2.00439,-1.05588,-0.604662
358,-2.14575,-2.35709,-1.17686
359,-1.94475,-2.2533,-1.47457
360,-1.78681,-1.82359,-1.49617
361,-1.58764,-2.66127,-1.80099
362,-1.84339,-0.983189,-1.39618
363,-2.21629,-1.90125,-1.4795
364,-2.0176,-3.23006,-1.99224
365,-1.99083,0.138115,-1.12456
366,-1.6055,-0.480702,-0.826134
367,-1.29769,-1.83784,-1.1265
368,-1.46897,-1.48236,-1.17503
369,-1.53417,-0.0560473,-0.71482
370,-1.05075,-0.888081,-0.73014
371,-1.03498,-0.828734,-0.715951
372,-0.633161,-0.988473,-0.764105
373,-0.447336,-1.74087,-1.04957
374,-0.0229967,1.52153,-0.0900822
375,0.322586,1.51948,0.476452
376,0.446573,1.22041,0.703494
377,0.719036,0.950549,0.744591
378,0.503337,1.71408,1.02842
379,0.223935,-0.170046,0.544546
380,-0.520737,-0.49169,0.151495
381,-0.737508,-0.00324741,0.0875635
382,-0.673745,0.932374,0.374933
383,-1.10254,-0.0349428,0.206782
384,-0.951506,-1.85602,-0.526155
385,-1.29518,-1.87781,-0.967904
386,-0.856824,-1.76395,-1.18371
387,-0.543297,-1.87101,-1.34572
388,-0.0639201,0.292247,-0.689599
389,0.198341,1.88533,0.244347
390,0.392913,-0.0185081,0.138903
391,0.00796294,-2.70614,-0.858822
392,0.0853557,-0.401401,-0.645875
393,-0.0602941,-0.114039,-0.418117
394,-0.531296,-1.60055,-0.801153
395,-0.718267,-0.544351,-0.660369
396,-0.581908,-2.52979,-1.26016
397,0.0118451,-0.138991,-0.794701
398,0.186305,1.3461,-0.00415062
399,0.438906,0.847252,0.289921
400,0.618016,0.0607347,0.188828
401,0.709746,-0.113372,0.0705037
402,0.873771,1.88584,0.696086
403,0.906048,-0.431825,0.261077
404,0.697122,1.10138,0.534656
405,0.526984,0.403806,0.455351
406,0.0529757,-0.249274,0.183749
407,0.083867,0.0702642,0.13393
408,0.496705,2.07949,0.797728
