t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0643476
1,-0.953624,-2.96459,-1.29278
2,-0.661972,-0.58214,-0.954047
3,-0.584664,-1.11648,-0.976675
4,-0.415158,-0.272694,-0.670811
5,0.193527,-0.331595,-0.484457
6,-0.839185,-0.0599926,-0.31438
7,-0.190153,-0.576626,-0.406051
8,0.111919,-1.26602,-0.677965
9,-0.130006,-0.306291,-0.510481
10,0.232194,-0.674992,-0.533232
11,0.601741,0.865227,0.0152315
12,0.771975,-0.737982,-0.241814
13,0.273068,0.229531,-0.0661699
14,-0.535773,0.394812,0.0796005
15,-0.132975,0.529309,0.210461
16,-0.20378,-0.449528,-0.0385959
17,0.422684,-1.15147,-0.436739
18,-0.641796,-1.57556,-0.801007
19,-0.885054,-2.26577,-1.25062
20,-0.826457,0.967823,-0.350633
21,-0.594986,-2.01358,-0.94299
22,-0.467611,0.23737,-0.459462
23,-1.15433,-1.25959,-0.687882
24,-1.24628,-1.59036,-0.923911
25,-1.28547,-1.54365,-1.093
26,-1.83162,-1.7046,-1.21517
27,-0.675896,-1.58288,-1.26234
28,-0.849868,-2.94147,-1.74005
29,-0.772622,0.0452511,-1.01107
30,-1.07452,-1.1389,-0.969996
31,-1.00712,0.4264,-0.409894
32,-2.15578,0.00294549,-0.245595
33,-2.04737,-1.31953,-0.588941
34,-1.66455,-0.4465,-0.493812
35,-1.7195,0.214343,-0.221793
36,-1.75577,-1.03765,-0.48521
37,-1.84828,-1.42026,-0.810307
38,-1.42246,-2.26004,-1.26198
39,-0.344054,-0.969671,-1.10612
40,-0.303132,-0.240307,-0.727907
41,-0.346292,0.618519,-0.192753
42,-0.257306,0.66336,0.13083
43,0.0949484,-1.75485,-0.518075
44,-0.407237,-3.28669,-1.39098
45,-0.368942,-0.831469,-1.12398
46,0.101567,0.519685,-0.494464
47,1.22808,1.76769,0.267748
48,1.09955,0.958654,0.485915
49,1.63977,2.48989,1.16164
50,1.47344,2.95329,1.75256
51,0.434475,0.761698,1.27215
52,0.327225,2.44611,1.60509
53,-0.180257,-0.291461,0.818798
54,-0.832933,-1.98065,-0.2537
55,-1.17726,-0.294422,-0.247797
56,-0.850214,-2.6521,-1.05567
57,-1.54091,-2.27386,-1.39769
58,-1.66479,-3.22535,-1.95252
59,-2.09838,-1.94854,-1.81556
60,-1.71133,-0.744938,-1.32375
61,-0.934998,-1.30952,-1.25447
62,-1.22425,-2.53217,-1.58791
63,-1.5306,0.250689,-0.841127
64,-2.15196,-1.9681,-1.13729
65,-0.86944,0.786022,-0.380325
66,-0.739213,-1.41922,-0.684779
67,-0.805619,-1.35487,-0.875453
68,0.331499,0.00710359,-0.489466
69,1.89187,2.8645,0.748332
70,1.87471,2.48255,1.32512
71,1.17004,1.65126,1.3572
72,1.62155,0.476597,0.980289
73,1.01785,0.599342,0.77732
74,0.144204,-1.01131,0.0934109
