t,x_true,y_obs,pf_mean
166,-0.570048,0.468779,-0.112442
167,-0.966495,-0.888086,-0.373162
168,-0.888363,0.218961,-0.133559
169,-1.46934,-2.5296,-0.955742
170,-2.00376,-2.57092,-1.44987
171,-0.675141,0.410965,-0.715447
172,-1.43299,-1.19818,-0.832572
173,-2.05703,-0.465317,-0.649007
174,-2.00065,-1.89092,-1.03533
175,-1.54369,-0.128723,-0.656171
176,-1.51773,-3.14025,-1.46946
177,-1.35317,-3.06167,-1.91581
178,-0.736456,0.980202,-0.796601
179,-0.0379078,-0.313717,-0.562703
180,-0.335835,1.02732,0.0497963
181,-0.137092,0.390292,0.171377
182,-0.872713,-1.33122,-0.358943
183,-0.192836,0.75688,0.0570086
184,-0.351069,-0.0665961,0.0169359
185,-0.983106,1.29537,0.456626
186,-0.449925,-1.80827,-0.344186
187,-0.905291,0.197734,-0.127008
188,-0.754438,-0.762675,-0.333588
189,-0.753343,1.05761,0.164587
190,-1.12741,-2.03399,-0.606624
191,-1.0641,0.122079,-0.319303
192,-0.25574,-2.11053,-0.921861
193,-0.156562,0.667853,-0.318017
194,0.233111,0.105415,-0.153305
195,-0.667593,-1.89955,-0.742812
196,-0.482834,-0.962957,-0.776018
197,-1.06856,0.586417,-0.246105
198,-1.43405,-0.448328,-0.298284
199,-1.18189,-0.490271,-0.34132
200,-0.661301,-0.621559,-0.413333
201,-0.461645,-0.744961,-0.504304
202,-0.570654,-1.82165,-0.93427
203,-0.880058,-1.69932,-1.13933
204,-0.890054,-0.23317,-0.743533
205,-0.834487,1.35658,0.0223996
206,-1.38807,-2.24385,-0.766768
207,-1.20944,-3.28945,-1.59467
208,-0.421563,1.62083,-0.369071
209,-0.306758,0.703379,0.0220868
210,-0.823135,-1.2608,-0.425101
211,0.558031,-0.119678,-0.28475
212,0.369069,2.1068,0.552889
213,0.32773,1.11391,0.706815
214,0.62856,1.08864,0.786135
215,0.0889748,0.652054,0.693486
216,0.495849,0.346659,0.52094
217,0.208075,0.0798634,0.331103
218,0.421549,-0.827626,-0.105154
219,1.63024,-0.0687638,-0.0943606
220,0.551811,2.78749,0.901646
221,-0.626204,-0.807194,0.2572
222,-0.598095,-0.47294,-0.0132514
223,-1.02109,-0.975502,-0.345565
224,-0.465237,1.39977,0.283664
225,0.133144,0.290505,0.262553
226,-0.0693172,-0.335555,0.025794
227,-0.646834,-1.5751,-0.534343
228,-0.0620473,0.167581,-0.255052
229,-0.461231,0.191304,-0.0839881
230,-0.556662,-0.947601,-0.387654
231,-0.524206,-0.875347,-0.534927
232,-0.193196,-0.748743,-0.584141
233,0.0713334,-0.162657,-0.392448
234,-0.229074,0.874593,0.0798288
235,-0.520703,-0.969866,-0.29689
236,-0.752474,-0.0741748,-0.198106
237,-0.0278969,0.806189,0.171726
238,-0.386826,0.0440146,0.111645
239,-0.519987,-1.63657,-0.493578
240,0.00309473,0.356858,-0.166305
241,0.253996,2.76954,0.849787
242,0.0191366,1.64566,1.06565
243,0.274141,1.91225,1.29671
244,0.42948,-0.14441,0.717464
245,-0.276696,-1.73012,-0.167274
246,0.732385,1.06088,0.269021
247,1.11006,1.36806,0.625528
248,0.688751,0.851513,0.658987
249,0.612857,0.00336184,0.385684
250,0.582823,0.111715,0.269678
251,0.840599,1.19249,0.570107
252,1.60739,0.0736383,0.362382
253,2.07925,1.74383,0.818624
254,2.19703,3.54851,1.70353
255,1.68747,1.46556,1.50267
256,1.84387,1.54556,1.41357
257,0.880689,2.55221,1.71447
258,0.699592,1.20558,1.42551
259,0.207946,-1.16175,0.434392
260,-0.485191,-0.821814,-0.0333637
261,-0.482552,-0.0990079,-0.051376
262,0.00259481,3.10746,1.07015
263,1.29912,1.21627,1.053
264,1.92407,2.52386,1.49644
265,1.09305,2.33938,1.68716
266,1.3584,3.01539,2.04254
267,0.529768,-2.08007,0.480908
268,0.423128,0.223188,0.366347
269,1.15194,0.466205,0.375679
270,0.37421,1.42122,0.71413
271,0.345232,-1.27323,-0.0247427
272,-0.0727679,-0.223188,-0.0960682
273,-0.361143,-1.24814,-0.477207
274,0.769847,-0.526655,-0.465401
275,-0.125501,1.36919,0.200084
276,-0.346807,-0.172899,0.0538803
277,-0.570351,-1.80769,-0.589387
278,-0.417847,-1.29895,-0.798633
279,0.609772,0.677526,-0.239174
280,0.622811,1.05068,0.215131
281,0.194188,0.794182,0.39971
282,-0.0544495,-0.157294,0.171016
283,0.28523,0.658626,0.32474
284,0.355851,0.536497,0.368419
285,0.739859,-0.250168,0.11844
286,-0.140862,-0.475369,-0.104397
287,-0.428945,0.794245,0.209997
288,-0.441811,0.348089,0.243107
289,-1.13217,-2.4727,-0.721106
290,-0.349895,-2.36945,-1.2322
291,0.79119,-1.36004,-1.20337
292,0.732915,1.18401,-0.303024
293,0.661015,1.28341,0.256357
294,0.639718,0.48973,0.315813
295,1.08697,1.94187,0.860302
296,1.63765,2.55428,1.38791
297,0.880538,0.783652,1.08886
298,0.559077,1.02077,0.986155
299,0.764378,3.22015,1.70636
300,0.815065,1.13127,1.38971
301,0.779276,0.238953,0.907967
302,1.17582,0.353197,0.662014
303,0.827421,-0.174347,0.313422
304,2.0177,2.59699,1.08653
305,1.58446,1.76097,1.25883
306,0.616907,1.68676,1.33345
307,0.772994,1.35967,1.25282
308,0.573295,0.126148,0.782289
309,0.475836,-0.836004,0.152163
310,-0.103449,0.455292,0.247859
311,0.274018,0.940999,0.470011
312,-0.0622898,1.64626,0.853379
313,0.138919,0.820216,0.782191
314,-0.24929,0.881413,0.761813
315,-1.06799,0.0939378,0.486078
316,-0.341912,-0.862826,-0.00780744
317,-0.980405,0.709232,0.243015
318,-1.00562,-2.50521,-0.70086
319,-0.911196,-0.0427527,-0.437297
320,-0.164471,-0.491308,-0.422415
321,0.476546,0.456527,-0.090144
322,-0.0277081,0.837609,0.245763
323,0.361616,0.125036,0.180259
324,0.538044,0.693471,0.3486
325,0.338837,-0.817913,-0.0757555
326,-0.305206,1.00487,0.292127
327,-0.17802,0.187281,0.233438
328,-1.15718,-3.67222,-1.10488
329,0.0544888,0.427548,-0.508889
330,-0.302492,0.275626,-0.203595
331,-0.489297,-0.401982,-0.258571
332,-0.378753,-2.3479,-0.961964
333,-0.852587,-0.565669,-0.773688
334,-0.512189,-0.572709,-0.649388
335,-1.2516,-1.00973,-0.736984
336,-0.763555,-2.41999,-1.27859
337,-0.115206,-0.677806,-0.98491
338,0.716059,-0.779819,-0.84649
339,0.0290654,-0.740703,-0.749976
340,0.494788,-0.779581,-0.709552
341,0.0789323,0.569569,-0.221912
342,0.30634,-0.126192,-0.173388
343,-0.360706,-2.30469,-0.906097
344,-0.527736,-0.760408,-0.794365
345,-0.28148,-1.27494,-0.911776
346,-1.0197,-0.603463,-0.747931
347,-0.978903,-0.162786,-0.496522
348,-1.75243,-2.14202,-1.02686
349,-1.03141,-0.0195036,-0.608608
350,-0.680968,-0.215923,-0.436405
351,-0.450283,0.358646,-0.135269
352,-0.414429,-1.36315,-0.541395
353,-0.189758,0.821105,-0.0259753
354,-0.472951,0.620117,0.201101
355,-1.64261,-1.40685,-0.360053
356,-1.78379,-0.539758,-0.402386
357,-2.00439,-1.05588,-0.605678
358,-2.14575,-2.35709,-1.17158
359,-1.94475,-2.2533,-1.46411
360,-1.78681,-1.82359,-1.49738
361,-1.58764,-2.66127,-1.81157
362,-1.84339,-0.983189,-1.4061
363,-2.21629,-1.90125,-1.48356
364,-2.0176,-3.23006,-2.00212
365,-1.99083,0.138115,-1.12849
366,-1.6055,-0.480702,-0.829133
367,-1.29769,-1.83784,-1.12951
368,-1.46897,-1.48236,-1.17683
369,-1.53417,-0.0560473,-0.714254
370,-1.05075,-0.888081,-0.726387
371,-1.03498,-0.828734,-0.711465
372,-0.633161,-0.988473,-0.755612
373,-0.447336,-1.74087,-1.04673
374,-0.0229967,1.52153,-0.0820798
375,0.322586,1.51948,0.485997
376,0.446573,1.22041,0.702133
377,0.719036,0.950549,0.737981
378,0.503337,1.71408,1.0346
379,0.223935,-0.170046,0.546082
380,-0.520737,-0.49169,0.143381
381,-0.737508,-0.00324741,0.0833666
382,-0.673745,0.932374,0.360935
383,-1.10254,-0.0349428,0.198742
384,-0.951506,-1.85602,-0.531414
385,-1.29518,-1.87781,-0.975644
386,-0.856824,-1.76395,-1.18776
387,-0.543297,-1.87101,-1.35917
388,-0.0639201,0.292247,-0.695077
389,0.198341,1.88533,0.248148
390,0.392913,-0.0185081,0.145769
391,0.00796294,-2.70614,-0.858225
392,0.0853557,-0.401401,-0.641026
393,-0.0602941,-0.114039,-0.423609
394,-0.531296,-1.60055,-0.800065
395,-0.718267,-0.544351,-0.664326
396,-0.581908,-2.52979,-1.27831
397,0.0118451,-0.138991,-0.793729
398,0.186305,1.3461,0.00250119
399,0.438906,0.847252,0.298454
400,0.618016,0.0607347,0.191933
401,0.709746,-0.113372,0.0808041
402,0.873771,1.88584,0.701732
403,0.906048,-0.431825,0.263226
404,0.697122,1.10138,0.537501
405,0.526984,0.403806,0.462991
406,0.0529757,-0.249274,0.186857
407,0.083867,0.0702642,0.131576
408,0.496705,2.07949,0.787005
409,0.625847,0.128348,0.514605
410,0.606299,0.973531,0.633971
411,0.10179,-1.18115,-0.025783
412,0.7239,-0.0794639,-0.03676
413,0.244833,-1.11257,-0.413383
414,0.855665,-0.0877182,-0.273149
415,0.199216,0.247885,-0.0697636
