t,x_true,y_obs,pf_mean
166,-0.570048,0.468779,-0.0876078
167,-0.966495,-0.888086,-0.357689
168,-0.888363,0.218961,-0.12606
169,-1.46934,-2.5296,-0.965166
170,-2.00376,-2.57092,-1.47199
171,-0.675141,0.410965,-0.702362
172,-1.43299,-1.19818,-0.833192
173,-2.05703,-0.465317,-0.646811
174,-2.00065,-1.89092,-1.04189
175,-1.54369,-0.128723,-0.674155
176,-1.51773,-3.14025,-1.46849
177,-1.35317,-3.06167,-1.91411
178,-0.736456,0.980202,-0.811103
179,-0.0379078,-0.313717,-0.600508
180,-0.335835,1.02732,0.00319775
181,-0.137092,0.390292,0.135971
182,-0.872713,-1.33122,-0.373742
183,-0.192836,0.75688,0.0507488
184,-0.351069,-0.0665961,0.0159052
185,-0.983106,1.29537,0.461528
186,-0.449925,-1.80827,-0.351127
187,-0.905291,0.197734,-0.125813
188,-0.754438,-0.762675,-0.338297
189,-0.753343,1.05761,0.171689
190,-1.12741,-2.03399,-0.608127
191,-1.0641,0.122079,-0.306001
192,-0.25574,-2.11053,-0.901076
193,-0.156562,0.667853,-0.305908
194,0.233111,0.105415,-0.142982
195,-0.667593,-1.89955,-0.733185
196,-0.482834,-0.962957,-0.764379
197,-1.06856,0.586417,-0.251148
198,-1.43405,-0.448328,-0.30493
199,-1.18189,-0.490271,-0.352267
200,-0.661301,-0.621559,-0.431282
201,-0.461645,-0.744961,-0.503167
202,-0.570654,-1.82165,-0.92072
203,-0.880058,-1.69932,-1.12731
204,-0.890054,-0.23317,-0.746818
205,-0.834487,1.35658,0.0430653
206,-1.38807,-2.24385,-0.762824
207,-1.20944,-3.28945,-1.59779
208,-0.421563,1.62083,-0.356818
209,-0.306758,0.703379,0.0313264
210,-0.823135,-1.2608,-0.41243
211,0.558031,-0.119678,-0.276777
212,0.369069,2.1068,0.58038
213,0.32773,1.11391,0.739886
214,0.62856,1.08864,0.811735
215,0.0889748,0.652054,0.697622
216,0.495849,0.346659,0.530628
217,0.208075,0.0798634,0.346636
218,0.421549,-0.827626,-0.0756672
219,1.63024,-0.0687638,-0.0628854
220,0.551811,2.78749,0.930726
221,-0.626204,-0.807194,0.265642
222,-0.598095,-0.47294,0.00461695
223,-1.02109,-0.975502,-0.329723
224,-0.465237,1.39977,0.292403
225,0.133144,0.290505,0.274694
226,-0.0693172,-0.335555,0.0513519
227,-0.646834,-1.5751,-0.504523
228,-0.0620473,0.167581,-0.23359
229,-0.461231,0.191304,-0.0672869
230,-0.556662,-0.947601,-0.369047
231,-0.524206,-0.875347,-0.527234
232,-0.193196,-0.748743,-0.567209
233,0.0713334,-0.162657,-0.386972
234,-0.229074,0.874593,0.0727598
235,-0.520703,-0.969866,-0.293916
236,-0.752474,-0.0741748,-0.194432
237,-0.0278969,0.806189,0.162643
238,-0.386826,0.0440146,0.102869
239,-0.519987,-1.63657,-0.518438
240,0.00309473,0.356858,-0.175546
